,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,2294円,145分,102.1%,10644件
1,550-599,2622円,143分,102.4%,3412件
2,600-649,3044円,141分,102.9%,1796件
3,650-699,3055円,140分,102.9%,1224件
4,700-749,3053円,137分,103%,1020件
5,750-799,3281円,135分,103.2%,858件
6,800-849,3549円,133分,103.6%,810件
7,850-899,3855円,129分,104%,796件
8,900-949,3553円,128分,103.7%,803件
9,950-999,3912円,126分,104.1%,731件
10,1000-1049,3838円,123分,104.2%,719件
11,1050-1099,4151円,123分,104.5%,770件
12,1100-1149,4659円,122分,105.1%,743件
13,1150-1199,4072円,117分,104.6%,683件
14,1200-1249,4315円,113分,105.1%,798件
15,1250-1299,4579円,111分,105.5%,742件
16,1300-1349,5051円,109分,106.2%,727件
17,1350-1399,6090円,106分,107.7%,738件
18,1400-1449,6276円,105分,108%,709件
19,1450-1499,5498円,104分,107.1%,716件
20,1500-1549,5756円,98分,107.8%,677件
21,1550-1599,5156円,95分,107.2%,596件
22,1600-1649,6405円,94分,109.1%,587件
23,1650-1699,5614円,90分,108.3%,602件
24,1700-1749,6244円,88分,109.5%,576件
25,1750-1799,6150円,85分,109.6%,606件
26,1800-1849,6728円,82分,111%,532件
27,1850-1899,7304円,79分,112.4%,508件
28,1900-1949,7275円,77分,112.6%,536件
29,1950-1999,7476円,74分,113.4%,509件
30,2000-2049,7297円,70分,113.8%,482件
31,2050-2099,7873円,69分,115.2%,516件
32,2100-2149,7917円,65分,116.3%,506件
33,2150-2199,8287円,61分,118.1%,437件
34,2200-2249,8052円,55分,119.7%,442件
35,2250-2299,7843円,49分,121.4%,435件
36,2300-2349,8342円,43分,125.6%,428件
37,2350-2399,8762円,42分,127.8%,402件
38,2400-2449,8530円,41分,127.7%,404件
39,2450-2499,8638円,40分,129.1%,406件
40,2500-2549,9214円,38分,132.4%,419件
41,2550-2599,9790円,36分,136.2%,372件
42,2600-2649,9956円,35分,137.6%,374件
43,2650-2699,10341円,34分,140.1%,366件
44,2700-2749,10666円,33分,143.2%,334件
45,2750-2799,11789円,30分,152.4%,363件
46,2800-2849,11903円,28分,156.9%,331件
47,2850-2899,12264円,25分,165.6%,307件
48,2900-2949,13206円,23分,178%,285件
