,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,50-99,-3204円,164分,97.4%,21771件
1,100-149,-2770円,161分,97.7%,11522件
2,150-199,-2225円,155分,98.1%,8081件
3,200-249,-2155円,151分,98.1%,6472件
4,250-299,-1946円,152分,98.3%,5603件
5,300-349,-1856円,151分,98.4%,5503件
6,350-399,-1672円,148分,98.5%,5292件
7,400-449,-1688円,147分,98.5%,5209件
8,450-499,-1270円,144分,98.8%,5105件
9,500-549,-1158円,143分,98.9%,5014件
10,550-599,-960円,140分,99.1%,5000件
11,600-649,-834円,139分,99.2%,4883件
12,650-699,-672円,138分,99.3%,4739件
13,700-749,-797円,135分,99.2%,5136件
14,750-799,-243円,133分,99.8%,5425件
15,800-849,-226円,130分,99.8%,5057件
16,850-899,152円,128分,100.2%,5010件
17,900-949,185円,126分,100.2%,4745件
18,950-999,123円,124分,100.1%,4653件
19,1000-1049,421円,121分,100.5%,4441件
20,1050-1099,709円,118分,100.8%,4329件
21,1100-1149,824円,118分,100.9%,4157件
22,1150-1199,1211円,114分,101.4%,4100件
23,1200-1249,1125円,112分,101.3%,4064件
24,1250-1299,1115円,110分,101.3%,3954件
25,1300-1349,1423円,107分,101.8%,3805件
26,1350-1399,1661円,105分,102.1%,3801件
27,1400-1449,2054円,103分,102.7%,3716件
28,1450-1499,2106円,100分,102.8%,3647件
29,1500-1549,2299円,98分,103.1%,3522件
30,1550-1599,2432円,95分,103.4%,3467件
31,1600-1649,2491円,92分,103.6%,3373件
32,1650-1699,2718円,90分,104%,3216件
33,1700-1749,2595円,87分,104%,3276件
34,1750-1799,3116円,83分,105%,3225件
35,1800-1849,2968円,80分,104.9%,2984件
36,1850-1899,3690円,77分,106.4%,3048件
37,1900-1949,3808円,75分,106.8%,2970件
38,1950-1999,3700円,72分,106.9%,2867件
39,2000-2049,3858円,69分,107.4%,2784件
40,2050-2099,4096円,66分,108.3%,2706件
41,2100-2149,4239円,63分,109%,2647件
42,2150-2199,4734円,59分,110.7%,2543件
43,2200-2249,5078円,56分,112.2%,2522件
44,2250-2299,5053円,53分,112.6%,2456件
45,2300-2349,5467円,50分,114.7%,2365件
46,2350-2399,5682円,47分,116.2%,2424件
47,2400-2449,6028円,45分,118%,2266件
48,2450-2499,6048円,44分,118.5%,1926件
