,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,3143円,136分,103.1%,2035件
1,900-949,3218円,131分,103.3%,2257件
2,950-999,3640円,130分,103.7%,2348件
3,1000-1049,3938円,127分,104.1%,2191件
4,1050-1099,4004円,125分,104.3%,2145件
5,1100-1149,3969円,124分,104.3%,2034件
6,1150-1199,3711円,122分,104.1%,2038件
7,1200-1249,4018円,118分,104.5%,1899件
8,1250-1299,4349円,113分,105.1%,1879件
9,1300-1349,4375円,113分,105.1%,1779件
10,1350-1399,4252円,110分,105.1%,1730件
11,1400-1449,4801円,107分,106%,1732件
12,1450-1499,4445円,105分,105.6%,1729件
13,1500-1549,4550円,101分,106%,1619件
14,1550-1599,4811円,99分,106.5%,1562件
15,1600-1649,5390円,97分,107.4%,1620件
16,1650-1699,5404円,93分,107.7%,1498件
17,1700-1749,5432円,91分,108%,1512件
18,1750-1799,5549円,89分,108.4%,1508件
19,1800-1849,5265円,87分,108.1%,1416件
20,1850-1899,5878円,83分,109.5%,1354件
21,1900-1949,5629円,78分,109.6%,1405件
22,1950-1999,5778円,74分,110.3%,1331件
23,2000-2049,5548円,70分,110.5%,1275件
24,2050-2099,6169円,67分,112.2%,1275件
25,2100-2149,6617円,64分,113.7%,1230件
26,2150-2199,6272円,61分,113.7%,1191件
27,2200-2249,6438円,58分,114.8%,1193件
28,2250-2299,6628円,54分,116.2%,1180件
29,2300-2349,6860円,51分,117.9%,1143件
30,2350-2399,6846円,49分,118.8%,1047件
31,2400-2449,7598円,45分,122.5%,1064件
32,2450-2499,7567円,45分,122.5%,1024件
33,2500-2549,7937円,44分,124.3%,986件
34,2550-2599,8367円,41分,127.1%,1018件
35,2600-2649,8948円,40分,130.1%,949件
36,2650-2699,9078円,39分,130.8%,808件
