,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,142円,141分,100.1%,21件
1,750-799,1978円,122分,102.2%,29件
2,800-849,899円,145分,100.8%,45件
3,850-899,4444円,128分,104.6%,41件
4,900-949,841円,130分,100.9%,47件
5,950-999,1813円,135分,101.8%,52件
6,1000-1049,2537円,130分,102.6%,67件
7,1050-1099,1952円,120分,102.2%,70件
8,1100-1149,1752円,122分,101.9%,82件
9,1150-1199,2993円,122分,103.3%,96件
10,1200-1249,2064円,118分,102.3%,102件
11,1250-1299,3689円,108分,104.6%,101件
12,1300-1349,3488円,112分,104.2%,108件
13,1350-1399,3463円,106分,104.4%,101件
14,1400-1449,3111円,103分,104%,110件
15,1450-1499,2146円,103分,102.8%,131件
16,1500-1549,2914円,100分,103.9%,113件
17,1550-1599,3323円,96分,104.6%,144件
18,1600-1649,3817円,93分,105.5%,130件
19,1650-1699,4267円,92分,106.2%,138件
20,1700-1749,4785円,92分,106.9%,127件
21,1750-1799,4364円,86分,106.8%,113件
22,1800-1849,3956円,82分,106.4%,144件
23,1850-1899,4343円,77分,107.5%,139件
24,1900-1949,3698円,77分,106.4%,125件
25,1950-1999,5881円,73分,110.8%,126件
26,2000-2049,4711円,69分,109.1%,93件
27,2050-2099,3245円,69分,106.3%,98件
28,2100-2149,5138円,67分,110.2%,90件
29,2150-2199,6050円,62分,113%,91件
30,2200-2249,5968円,55分,114.6%,106件
31,2250-2299,6593円,52分,117.1%,87件
32,2300-2349,6762円,47分,119.2%,83件
33,2350-2399,5979円,47分,117.1%,86件
34,2400-2449,6949円,44分,121%,81件
35,2450-2499,6390円,43分,119.8%,64件
36,2500-2549,6869円,43分,121.2%,80件
37,2550-2599,7281円,42分,122.9%,76件
38,2600-2649,8017円,39分,127.8%,66件
39,2650-2699,9283円,37分,133.5%,60件
40,2700-2749,9146円,34分,135.4%,51件
41,2750-2799,10504円,30分,146%,54件
42,2800-2849,11207円,30分,150.2%,74件
43,2850-2899,11770円,26分,160.1%,63件
44,2900-2949,13420円,23分,179.3%,47件
