,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1450-1499,7006円,104分,109%,275件
1,1500-1549,7402円,103分,109.6%,280件
2,1550-1599,7302円,100分,109.8%,237件
3,1600-1649,6201円,97分,108.5%,223件
4,1650-1699,7086円,95分,110%,233件
5,1700-1749,7761円,89分,111.6%,238件
6,1750-1799,7605円,87分,111.6%,208件
7,1800-1849,7264円,86分,111.3%,221件
8,1850-1899,8400円,83分,113.4%,229件
9,1900-1949,7965円,76分,113.9%,185件
10,1950-1999,8551円,78分,114.5%,175件
11,2000-2049,7693円,73分,114.1%,177件
12,2050-2099,9719円,67分,119.4%,160件
13,2100-2149,6741円,67分,113.5%,145件
14,2150-2199,9277円,61分,120.4%,131件
15,2200-2249,7486円,56分,117.9%,146件
16,2250-2299,8319円,51分,121.6%,162件
17,2300-2349,9223円,46分,126.5%,137件
18,2350-2399,8569円,47分,124.3%,128件
19,2400-2449,8369円,47分,123.6%,114件
20,2450-2499,9814円,43分,130.7%,118件
21,2500-2549,9451円,43分,129.1%,119件
22,2550-2599,10193円,41分,133.4%,105件
23,2600-2649,10464円,40分,134.7%,107件
24,2650-2699,10595円,39分,136.5%,100件
25,2700-2749,11019円,35分,142.1%,94件
26,2750-2799,12397円,33分,149.8%,125件
27,2800-2849,13063円,29分,159.2%,108件
28,2850-2899,13406円,27分,166.6%,83件
29,2900-2949,15474円,24分,187.3%,79件
