,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,489円,145分,100.4%,116件
1,500-549,-34円,149分,100%,149件
2,550-599,788円,148分,100.7%,193件
3,600-649,891円,141分,100.8%,232件
4,650-699,-672円,143分,99.4%,277件
5,700-749,1907円,138分,101.8%,305件
6,750-799,1224円,137分,101.2%,329件
7,800-849,1321円,135分,101.3%,374件
8,850-899,1181円,135分,101.2%,410件
9,900-949,1942円,130分,102%,403件
10,950-999,2085円,128分,102.2%,439件
11,1000-1049,1296円,128分,101.3%,464件
12,1050-1099,1374円,125分,101.5%,508件
13,1100-1149,2452円,119分,102.8%,503件
14,1150-1199,2505円,123分,102.7%,501件
15,1200-1249,2531円,116分,102.9%,509件
16,1250-1299,3172円,111分,103.8%,490件
17,1300-1349,3025円,111分,103.6%,460件
18,1350-1399,2916円,110分,103.5%,470件
19,1400-1449,3613円,105分,104.6%,424件
20,1450-1499,2705円,103分,103.5%,391件
21,1500-1549,3574円,100分,104.8%,411件
22,1550-1599,3637円,99分,104.9%,418件
23,1600-1649,3971円,93分,105.7%,366件
24,1650-1699,3899円,90分,105.8%,385件
25,1700-1749,4243円,90分,106.3%,365件
26,1750-1799,4251円,85分,106.7%,322件
27,1800-1849,4773円,85分,107.5%,297件
28,1850-1899,4730円,80分,107.9%,319件
29,1900-1949,5339円,76分,109.4%,267件
30,1950-1999,4367円,74分,107.9%,255件
31,2000-2049,6103円,70分,111.6%,247件
32,2050-2099,4948円,67分,109.9%,259件
33,2100-2149,5017円,63分,110.6%,253件
34,2150-2199,6149円,57分,114.3%,242件
35,2200-2249,6081円,57分,114.3%,230件
36,2250-2299,5572円,54分,113.8%,224件
37,2300-2349,6144円,48分,117.1%,193件
38,2350-2399,5893円,50分,115.8%,206件
39,2400-2449,6582円,46分,119.1%,174件
40,2450-2499,6565円,46分,119%,187件
41,2500-2549,7688円,42分,124.7%,178件
42,2550-2599,7843円,40分,126%,173件
43,2600-2649,8279円,40分,127.9%,203件
44,2650-2699,8855円,37分,131.8%,185件
45,2700-2749,9472円,35分,136.1%,149件
46,2750-2799,10885円,31分,146.5%,159件
47,2800-2849,11251円,30分,149.9%,153件
48,2850-2899,12414円,26分,163.1%,150件
49,2900-2949,13244円,22分,178.7%,114件
