,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2917円,159分,97.6%,483件
1,200-249,-1715円,157分,98.5%,839件
2,250-299,-2600円,158分,97.8%,1212件
3,300-349,-2430円,154分,97.9%,1423件
4,350-399,-1702円,151分,98.5%,1605件
5,400-449,-1496円,150分,98.7%,1631件
6,450-499,-1476円,147分,98.7%,1668件
7,500-549,-1166円,147分,98.9%,1743件
8,550-599,-1283円,145分,98.8%,1707件
9,600-649,-1053円,144分,99%,1754件
10,650-699,-744円,139分,99.3%,1744件
11,700-749,97円,137分,100.1%,1679件
12,750-799,-1054円,137分,99%,1983件
13,800-849,-188円,133分,99.8%,1971件
14,850-899,-481円,131分,99.5%,1956件
15,900-949,403円,129分,100.4%,1827件
16,950-999,157円,127分,100.2%,1742件
17,1000-1049,291円,126分,100.3%,1532件
18,1050-1099,326円,123分,100.4%,1481件
19,1100-1149,587円,122分,100.6%,1354件
20,1150-1199,417円,117分,100.5%,1272件
21,1200-1249,1026円,117分,101.2%,1289件
22,1250-1299,1273円,113分,101.5%,1209件
23,1300-1349,1102円,112分,101.3%,1134件
24,1350-1399,1610円,108分,102%,1211件
25,1400-1449,2229円,104分,102.9%,1196件
26,1450-1499,1563円,102分,102%,1068件
27,1500-1549,2380円,101分,103.2%,938件
28,1550-1599,2420円,98分,103.3%,960件
29,1600-1649,2565円,96分,103.6%,961件
30,1650-1699,2298円,91分,103.4%,886件
31,1700-1749,2799円,89分,104.2%,920件
32,1750-1799,3271円,85分,105.1%,852件
33,1800-1849,3713円,82分,106.1%,840件
34,1850-1899,3431円,77分,105.9%,833件
35,1900-1949,3540円,76分,106.2%,743件
36,1950-1999,3581円,73分,106.6%,773件
37,2000-2049,3667円,72分,106.8%,725件
38,2050-2099,4136円,67分,108.2%,715件
39,2100-2149,5005円,63分,110.5%,690件
40,2150-2199,4756円,61分,110.4%,708件
41,2200-2249,4759円,57分,111%,610件
42,2250-2299,4821円,55分,111.7%,610件
43,2300-2349,5135円,51分,113.4%,579件
44,2350-2399,5472円,47分,115.4%,565件
45,2400-2449,5759円,45分,117.1%,563件
46,2450-2499,6242円,44分,118.8%,545件
47,2500-2549,7167円,42分,122.7%,592件
48,2550-2599,7601円,40分,125.4%,532件
49,2600-2649,7892円,38分,127.5%,552件
50,2650-2699,8802円,36分,132.4%,488件
51,2700-2749,9156円,35分,135.1%,464件
52,2750-2799,10022円,32分,142.3%,427件
53,2800-2849,10756円,29分,149.3%,381件
54,2850-2899,12021円,26分,162.2%,337件
55,2900-2949,12699円,23分,175.1%,264件
