,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-2422円,170分,98.1%,47件
1,400-449,-1013円,154分,99.1%,70件
2,450-499,-1215円,148分,98.9%,104件
3,500-549,-708円,148分,99.4%,136件
4,550-599,-865円,140分,99.2%,179件
5,600-649,173円,139分,100.2%,204件
6,650-699,109円,140分,100.1%,215件
7,700-749,218円,137分,100.2%,239件
8,750-799,-812円,139分,99.2%,281件
9,800-849,239円,135分,100.2%,288件
10,850-899,681円,133分,100.7%,301件
11,900-949,881円,130分,100.9%,358件
12,950-999,1520円,127分,101.6%,360件
13,1000-1049,822円,124分,100.9%,435件
14,1050-1099,1822円,123分,102%,425件
15,1100-1149,839円,121分,100.9%,421件
16,1150-1199,1000円,119分,101.1%,479件
17,1200-1249,1722円,117分,102%,470件
18,1250-1299,1929円,114分,102.3%,402件
19,1300-1349,1224円,115分,101.4%,425件
20,1350-1399,2066円,107分,102.6%,436件
21,1400-1449,1795円,107分,102.2%,447件
22,1450-1499,2485円,102分,103.2%,413件
23,1500-1549,2472円,100分,103.3%,433件
24,1550-1599,3142円,98分,104.3%,411件
25,1600-1649,3544円,95分,105%,446件
26,1650-1699,3208円,91分,104.7%,384件
27,1700-1749,3058円,89分,104.6%,383件
28,1750-1799,3710円,84分,105.9%,335件
29,1800-1849,4043円,79分,106.8%,339件
30,1850-1899,4752円,79分,108%,320件
31,1900-1949,4835円,76分,108.5%,316件
32,1950-1999,4460円,71分,108.3%,283件
33,2000-2049,5252円,69分,110.1%,276件
34,2050-2099,5405円,66分,110.9%,276件
35,2100-2149,4521円,64分,109.4%,265件
36,2150-2199,4115円,63分,108.7%,263件
37,2200-2249,5420円,56分,113%,226件
38,2250-2299,5382円,54分,113.3%,226件
39,2300-2349,5589円,50分,114.8%,224件
40,2350-2399,5820円,47分,116.4%,229件
41,2400-2449,6641円,43分,120.7%,204件
42,2450-2499,5756円,44分,117.4%,216件
43,2500-2549,6485円,43分,120.2%,174件
44,2550-2599,7973円,39分,127.5%,199件
45,2600-2649,8338円,39分,128.6%,160件
46,2650-2699,8991円,36分,133.7%,201件
47,2700-2749,9159円,35分,134.4%,157件
48,2750-2799,10365円,32分,143.5%,146件
49,2800-2849,11404円,28分,154.7%,144件
50,2850-2899,11900円,26分,161.3%,156件
51,2900-2949,13491円,23分,178.6%,130件
