,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,4660円,132分,104.7%,1274件
1,1000-1049,4518円,128分,104.7%,1144件
2,1050-1099,4886円,123分,105.3%,1355件
3,1100-1149,4979円,121分,105.5%,1351件
4,1150-1199,5242円,119分,105.9%,1294件
5,1200-1249,5803円,118分,106.6%,1247件
6,1250-1299,6125円,116分,107%,1223件
7,1300-1349,5466円,114分,106.4%,1209件
8,1350-1399,5529円,110分,106.7%,1112件
9,1400-1449,5693円,107分,107.1%,1061件
10,1450-1499,6136円,105分,107.8%,998件
11,1500-1549,5482円,102分,107.2%,1018件
12,1550-1599,6229円,99分,108.4%,1023件
13,1600-1649,5962円,96分,108.3%,1003件
14,1650-1699,6259円,93分,109%,943件
15,1700-1749,6360円,91分,109.3%,864件
16,1750-1799,6654円,89分,109.9%,913件
17,1800-1849,6959円,84分,111%,863件
18,1850-1899,6637円,82分,110.8%,847件
19,1900-1949,7147円,79分,112%,867件
20,1950-1999,7111円,77分,112.3%,846件
21,2000-2049,7674円,73分,114%,772件
22,2050-2099,7514円,68分,114.7%,802件
23,2100-2149,7184円,64分,115.1%,787件
24,2150-2199,7068円,58分,116.1%,723件
25,2200-2249,7684円,56分,118.4%,719件
26,2250-2299,7758円,52分,119.7%,712件
27,2300-2349,7572円,49分,120.6%,678件
28,2350-2399,7694円,47分,121.9%,694件
29,2400-2449,8297円,44分,125.1%,652件
30,2450-2499,8431円,43分,126.3%,636件
31,2500-2549,8567円,43分,126.9%,613件
32,2550-2599,9214円,41分,129.8%,567件
33,2600-2649,9935円,38分,134.7%,609件
34,2650-2699,10070円,37分,136.2%,555件
35,2700-2749,10532円,34分,140.9%,575件
36,2750-2799,11375円,33分,146.5%,522件
37,2800-2849,11059円,33分,144.5%,461件
