,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-137円,148分,99.9%,1644件
1,450-499,-759円,150分,99.3%,2079件
2,500-549,-478円,147分,99.6%,1887件
3,550-599,-33円,144分,100%,1736件
4,600-649,269円,142分,100.3%,1525件
5,650-699,-42円,142分,100%,1344件
6,700-749,108円,140分,100.1%,1288件
7,750-799,640円,134分,100.6%,1239件
8,800-849,187円,137分,100.2%,1097件
9,850-899,955円,134分,101%,1078件
10,900-949,1454円,129分,101.5%,951件
11,950-999,1808円,127分,101.9%,929件
12,1000-1049,1042円,125分,101.1%,1661件
13,1050-1099,918円,124分,101%,945件
14,1100-1149,1810円,119分,102%,1007件
15,1150-1199,1565円,119分,101.8%,846件
16,1200-1249,2062円,116分,102.4%,781件
17,1250-1299,1904円,113分,102.2%,747件
18,1300-1349,2498円,111分,103%,771件
19,1350-1399,2190円,109分,102.7%,670件
20,1400-1449,2853円,105分,103.6%,673件
21,1450-1499,3594円,102分,104.7%,620件
22,1500-1549,2871円,101分,103.8%,628件
23,1550-1599,3359円,98分,104.6%,670件
24,1600-1649,3361円,94分,104.8%,609件
25,1650-1699,3476円,92分,105.1%,614件
26,1700-1749,4179円,88分,106.3%,588件
27,1750-1799,4673円,86分,107.3%,564件
28,1800-1849,4137円,85分,106.5%,504件
29,1850-1899,4766円,80分,108%,551件
30,1900-1949,5433円,79分,109.2%,515件
31,1950-1999,4850円,73分,108.9%,505件
32,2000-2049,5057円,70分,109.6%,457件
33,2050-2099,5123円,66分,110.4%,463件
34,2100-2149,5919円,61分,112.9%,470件
35,2150-2199,6186円,58分,114.2%,460件
36,2200-2249,5328円,54分,113.1%,465件
37,2250-2299,6123円,52分,115.7%,439件
38,2300-2349,6254円,50分,116.8%,429件
39,2350-2399,6793円,46分,119.9%,444件
40,2400-2449,6449円,44分,119.4%,370件
41,2450-2499,7069円,42分,122.2%,429件
42,2500-2549,7467円,42分,123.6%,376件
43,2550-2599,8123円,39分,127.5%,379件
44,2600-2649,8431円,39分,128.8%,334件
45,2650-2699,8413円,36分,130.8%,367件
46,2700-2749,9238円,35分,135.7%,306件
47,2750-2799,10347円,31分,144.1%,325件
48,2800-2849,11050円,28分,152.6%,310件
49,2850-2899,11940円,26分,160.9%,278件
50,2900-2949,13092円,23分,175.3%,183件
