,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,1385円,133分,101.4%,34件
1,850-899,2805円,133分,102.8%,41件
2,900-949,1994円,122分,102.2%,58件
3,950-999,2314円,131分,102.3%,47件
4,1000-1049,1592円,117分,101.8%,60件
5,1050-1099,4765円,120分,105.3%,65件
6,1100-1149,1812円,121分,102%,81件
7,1150-1199,762円,115分,100.9%,67件
8,1200-1249,2335円,111分,102.8%,75件
9,1250-1299,4183円,106分,105.2%,102件
10,1300-1349,2776円,111分,103.3%,96件
11,1350-1399,3809円,109分,104.7%,101件
12,1400-1449,3520円,107分,104.4%,108件
13,1450-1499,2767円,102分,103.6%,112件
14,1500-1549,2929円,102分,103.8%,133件
15,1550-1599,3961円,93分,105.7%,114件
16,1600-1649,3407円,95分,104.8%,101件
17,1650-1699,3340円,97分,104.6%,113件
18,1700-1749,5206円,87分,108%,109件
19,1750-1799,4352円,88分,106.6%,121件
20,1800-1849,5591円,80分,109.3%,117件
21,1850-1899,2706円,81分,104.5%,104件
22,1900-1949,6140円,71分,111.5%,101件
23,1950-1999,5977円,74分,110.8%,112件
24,2000-2049,5753円,66分,111.6%,84件
25,2050-2099,5183円,67分,110.3%,93件
26,2100-2149,5067円,61分,111%,81件
27,2150-2199,8002円,55分,119.5%,107件
28,2200-2249,5316円,54分,113.1%,60件
29,2250-2299,7651円,48分,121.1%,76件
30,2300-2349,7199円,42分,122.6%,65件
31,2350-2399,6801円,45分,120%,59件
32,2400-2449,7243円,41分,123.4%,73件
33,2450-2499,8010円,40分,126.5%,71件
34,2500-2549,7441円,42分,123.5%,72件
35,2550-2599,7895円,42分,125.3%,54件
36,2600-2649,7981円,39分,127.4%,58件
37,2650-2699,8374円,37分,130.2%,60件
38,2700-2749,9216円,34分,136.2%,57件
39,2750-2799,9714円,30分,143%,41件
40,2800-2849,10361円,28分,150%,58件
41,2850-2899,11849円,26分,160.5%,49件
42,2900-2949,13194円,21分,185.6%,42件
