,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,2359円,142分,102.2%,928件
1,600-649,1740円,142分,101.6%,1228件
2,650-699,2122円,139分,102%,1115件
3,700-749,2603円,136分,102.6%,998件
4,750-799,2927円,134分,102.9%,886件
5,800-849,2707円,135分,102.7%,787件
6,850-899,2681円,131分,102.7%,768件
7,900-949,3099円,128分,103.2%,731件
8,950-999,2543円,130分,102.6%,639件
9,1000-1049,3699円,124分,104%,616件
10,1050-1099,3491円,122分,103.8%,531件
11,1100-1149,3861円,121分,104.3%,538件
12,1150-1199,3935円,116分,104.5%,980件
13,1200-1249,3998円,114分,104.7%,533件
14,1250-1299,4571円,110分,105.5%,572件
15,1300-1349,4492円,110分,105.4%,526件
16,1350-1399,4880円,106分,106.1%,448件
17,1400-1449,4055円,106分,105.1%,444件
18,1450-1499,5060円,101分,106.7%,445件
19,1500-1549,4690円,100分,106.2%,399件
20,1550-1599,5273円,96分,107.3%,368件
21,1600-1649,5836円,94分,108.3%,352件
22,1650-1699,5267円,91分,107.7%,376件
23,1700-1749,6285円,88分,109.6%,411件
24,1750-1799,6151円,83分,109.9%,373件
25,1800-1849,5428円,84分,108.6%,358件
26,1850-1899,6716円,79分,111.3%,327件
27,1900-1949,6983円,77分,112.1%,312件
28,1950-1999,6367円,74分,111.4%,285件
29,2000-2049,8013円,71分,115.1%,332件
30,2050-2099,7900円,68分,115.4%,292件
31,2100-2149,7476円,62分,116%,295件
32,2150-2199,7688円,58分,117.8%,256件
33,2200-2249,7760円,54分,119.2%,272件
34,2250-2299,8795円,47分,124.8%,274件
35,2300-2349,8230円,45分,124.2%,254件
36,2350-2399,8311円,42分,126.2%,279件
37,2400-2449,8563円,41分,127.7%,252件
38,2450-2499,8356円,42分,126.8%,239件
39,2500-2549,9543円,38分,133.4%,253件
40,2550-2599,9366円,37分,133.4%,215件
41,2600-2649,9804円,36分,136.7%,248件
42,2650-2699,10253円,35分,139.6%,211件
43,2700-2749,10534円,33分,142.6%,201件
44,2750-2799,11364円,31分,148.4%,192件
45,2800-2849,11787円,28分,156.2%,215件
46,2850-2899,12038円,25分,164.1%,170件
47,2900-2949,13515円,23分,178.7%,156件
