,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2249円,158分,98.1%,31952件
1,250-299,-2021円,157分,98.3%,9645件
2,300-349,-1595円,156分,98.6%,5182件
3,350-399,-1592円,153分,98.6%,3489件
4,400-449,-1141円,149分,99%,2932件
5,450-499,-1277円,149分,98.9%,2450件
6,500-549,-920円,148分,99.2%,2392件
7,550-599,-761円,144分,99.3%,2284件
8,600-649,-807円,144分,99.3%,2246件
9,650-699,-492円,140分,99.5%,2187件
10,700-749,-536円,139分,99.5%,2193件
11,750-799,-549円,136分,99.5%,2145件
12,800-849,61円,135分,100.1%,2220件
13,850-899,-35円,133分,100%,2035件
14,900-949,132円,128分,100.1%,2257件
15,950-999,565円,127分,100.6%,2348件
16,1000-1049,902円,125分,101%,2191件
17,1050-1099,1024円,122分,101.1%,2145件
18,1100-1149,1007円,121分,101.1%,2034件
19,1150-1199,819円,119分,100.9%,2038件
20,1200-1249,1189円,116分,101.4%,1899件
21,1250-1299,1620円,111分,101.9%,1879件
22,1300-1349,1646円,111分,102%,1779件
23,1350-1399,1594円,108分,102%,1730件
24,1400-1449,2186円,105分,102.8%,1732件
25,1450-1499,1918円,103分,102.5%,1729件
26,1500-1549,2107円,99分,102.8%,1619件
27,1550-1599,2376円,97分,103.3%,1562件
28,1600-1649,2981円,95分,104.2%,1620件
29,1650-1699,3102円,91分,104.5%,1498件
30,1700-1749,3168円,89分,104.8%,1512件
31,1750-1799,3341円,87分,105.1%,1508件
32,1800-1849,3132円,85分,104.9%,1416件
33,1850-1899,3798円,81分,106.3%,1354件
34,1900-1949,3667円,77分,106.4%,1405件
35,1950-1999,3908円,73分,107.2%,1331件
36,2000-2049,3792円,69分,107.4%,1275件
37,2050-2099,4453円,66分,109%,1275件
38,2100-2149,4945円,63分,110.5%,1230件
39,2150-2199,4699円,59分,110.5%,1191件
40,2200-2249,4933円,57分,111.6%,1193件
41,2250-2299,5198円,53分,113%,1180件
42,2300-2349,5492円,50分,114.7%,1143件
43,2350-2399,5549円,48分,115.6%,1047件
44,2400-2449,6332円,44分,119.2%,1064件
45,2450-2499,6302円,44分,119.2%,1024件
46,2500-2549,6673円,42分,121%,986件
47,2550-2599,7102円,40分,123.7%,1018件
48,2600-2649,7683円,38分,126.6%,949件
49,2650-2699,7814円,38分,127.3%,808件
