,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,2161円,141分,102%,75件
1,650-699,3419円,141分,103.2%,124件
2,700-749,3574円,139分,103.4%,252件
3,750-799,3458円,136分,103.4%,306件
4,800-849,5079円,128分,105.3%,315件
5,850-899,4063円,130分,104.2%,297件
6,900-949,4614円,126分,104.9%,340件
7,950-999,4534円,127分,104.8%,325件
8,1000-1049,4231円,128分,104.4%,331件
9,1050-1099,5306円,118分,106%,344件
10,1100-1149,4893円,121分,105.4%,322件
11,1150-1199,5518円,114分,106.5%,293件
12,1200-1249,4829円,118分,105.5%,362件
13,1250-1299,5323円,110分,106.4%,350件
14,1300-1349,5683円,110分,106.9%,394件
15,1350-1399,5849円,108分,107.2%,296件
16,1400-1449,5480円,103分,107.1%,328件
17,1450-1499,6579円,104分,108.4%,262件
18,1500-1549,5951円,99分,108%,279件
19,1550-1599,6466円,98分,108.8%,249件
20,1600-1649,5717円,90分,108.5%,232件
21,1650-1699,7164円,91分,110.5%,238件
22,1700-1749,6986円,88分,110.6%,199件
23,1750-1799,7049円,85分,111.1%,220件
24,1800-1849,8282円,81分,113.7%,234件
25,1850-1899,6976円,79分,111.8%,231件
26,1900-1949,7435円,78分,112.7%,217件
27,1950-1999,7441円,75分,113.2%,168件
28,2000-2049,7664円,70分,114.6%,182件
29,2050-2099,8671円,66分,117.5%,168件
30,2100-2149,9088円,64分,119%,180件
31,2150-2199,7699円,60分,117%,167件
32,2200-2249,8843円,55分,121.2%,169件
33,2250-2299,8571円,49分,123.4%,166件
34,2300-2349,8109円,45分,124.2%,164件
35,2350-2399,9229円,41分,130.2%,146件
36,2400-2449,9950円,39分,134.3%,145件
37,2450-2499,9815円,39分,133.9%,129件
38,2500-2549,9121円,39分,131.1%,126件
39,2550-2599,10125円,36分,137.4%,105件
40,2600-2649,10613円,36分,139.1%,120件
41,2650-2699,11714円,34分,145.5%,117件
42,2700-2749,11354円,34分,144.1%,113件
43,2750-2799,11943円,30分,153.9%,113件
44,2800-2849,12195円,29分,155.9%,111件
45,2850-2899,13171円,27分,165.8%,91件
46,2900-2949,13813円,22分,181.9%,74件
