,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,4375円,121分,104.8%,4157件
1,1150-1199,4696円,117分,105.3%,4100件
2,1200-1249,4515円,115分,105.3%,4064件
3,1250-1299,4457円,113分,105.2%,3954件
4,1300-1349,4665円,109分,105.7%,3805件
5,1350-1399,4887円,108分,106%,3801件
6,1400-1449,5258円,106分,106.6%,3716件
7,1450-1499,5180円,102分,106.8%,3647件
8,1500-1549,5346円,100分,107.1%,3522件
9,1550-1599,5379円,97分,107.4%,3467件
10,1600-1649,5350円,95分,107.5%,3373件
11,1650-1699,5530円,92分,108%,3216件
12,1700-1749,5296円,89分,107.9%,3276件
13,1750-1799,5741円,86分,108.9%,3225件
14,1800-1849,5474円,82分,108.9%,2984件
15,1850-1899,6157円,79分,110.4%,3048件
16,1900-1949,6195円,77分,110.8%,2970件
17,1950-1999,5989円,74分,110.8%,2867件
18,2000-2049,6072円,71分,111.4%,2784件
19,2050-2099,6231円,68分,112.2%,2706件
20,2100-2149,6276円,65分,112.9%,2647件
21,2150-2199,6680円,61分,114.7%,2543件
22,2200-2249,6941円,57分,116.1%,2522件
23,2250-2299,6841円,55分,116.6%,2456件
24,2300-2349,7171円,51分,118.7%,2365件
25,2350-2399,7312円,48分,120.2%,2424件
26,2400-2449,7614円,46分,122%,2266件
27,2450-2499,7628円,45分,122.6%,1926件
