,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,-1635円,152分,98.6%,39件
1,600-649,-500円,144分,99.5%,61件
2,650-699,650円,139分,100.6%,81件
3,700-749,281円,135分,100.3%,116件
4,750-799,887円,135分,100.9%,107件
5,800-849,582円,131分,100.6%,114件
6,850-899,875円,133分,100.9%,136件
7,900-949,-175円,133分,99.8%,161件
8,950-999,-212円,131分,99.8%,142件
9,1000-1049,1520円,124分,101.6%,170件
10,1050-1099,2092円,119分,102.3%,211件
11,1100-1149,1660円,119分,101.9%,190件
12,1150-1199,1562円,120分,101.7%,231件
13,1200-1249,2070円,117分,102.4%,218件
14,1250-1299,1974円,112分,102.3%,250件
15,1300-1349,1476円,112分,101.8%,265件
16,1350-1399,1945円,110分,102.4%,252件
17,1400-1449,2494円,104分,103.2%,211件
18,1450-1499,1873円,108分,102.3%,221件
19,1500-1549,2844円,100分,103.8%,244件
20,1550-1599,2125円,100分,102.8%,239件
21,1600-1649,3418円,92分,104.9%,236件
22,1650-1699,2281円,90分,103.4%,224件
23,1700-1749,4611円,85分,107.2%,228件
24,1750-1799,4832円,85分,107.5%,236件
25,1800-1849,4055円,81分,106.7%,197件
26,1850-1899,4116円,79分,107%,207件
27,1900-1949,4602円,74分,108.3%,186件
28,1950-1999,4597円,71分,108.6%,194件
29,2000-2049,6059円,68分,111.9%,169件
30,2050-2099,5733円,65分,111.8%,163件
31,2100-2149,5347円,59分,112.1%,145件
32,2150-2199,5564円,59分,112.5%,154件
33,2200-2249,5794円,56分,113.9%,150件
34,2250-2299,4970円,54分,112.2%,139件
35,2300-2349,3978円,54分,109.9%,129件
36,2350-2399,6609円,45分,119.5%,134件
37,2400-2449,6101円,45分,118.2%,127件
38,2450-2499,6840円,42分,121.5%,135件
39,2500-2549,7243円,41分,123.3%,128件
40,2550-2599,7515円,40分,125.1%,106件
41,2600-2649,7253円,39分,124.9%,118件
42,2650-2699,7948円,38分,127.8%,102件
43,2700-2749,9265円,34分,136.9%,100件
44,2750-2799,10121円,32分,142.4%,80件
45,2800-2849,11141円,28分,152.2%,99件
46,2850-2899,11605円,28分,156%,92件
47,2900-2949,12629円,23分,173.8%,71件
