,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-1902円,161分,98.4%,3958件
1,200-249,-1937円,161分,98.4%,5030件
2,250-299,-1921円,160分,98.4%,4444件
3,300-349,-1470円,156分,98.7%,4200件
4,350-399,-1307円,155分,98.9%,3705件
5,400-449,-1253円,153分,98.9%,3363件
6,450-499,-1042円,152分,99.1%,3154件
7,500-549,-703円,148分,99.4%,3037件
8,550-599,-964円,147分,99.1%,2669件
9,600-649,-568円,145分,99.5%,2600件
10,650-699,9円,141分,100%,2447件
11,700-749,256円,140分,100.2%,2316件
12,750-799,39円,137分,100%,4201件
13,800-849,158円,136分,100.2%,2416件
14,850-899,73円,134分,100.1%,2444件
15,900-949,339円,132分,100.3%,2042件
16,950-999,752円,129分,100.8%,1885件
17,1000-1049,801円,126分,100.8%,1837件
18,1050-1099,516円,125分,100.6%,1777件
19,1100-1149,687円,122分,100.7%,1672件
20,1150-1199,1317円,119分,101.5%,1710件
21,1200-1249,1983円,117分,102.3%,1539件
22,1250-1299,1413円,115分,101.6%,1573件
23,1300-1349,2031円,111分,102.4%,1592件
24,1350-1399,1529円,109分,101.9%,1507件
25,1400-1449,1947円,107分,102.4%,1543件
26,1450-1499,2618円,103分,103.4%,1458件
27,1500-1549,2641円,101分,103.5%,1454件
28,1550-1599,2846円,98分,103.9%,1335件
29,1600-1649,2946円,95分,104.2%,1347件
30,1650-1699,3251円,93分,104.6%,1269件
31,1700-1749,2819円,90分,104.2%,1261件
32,1750-1799,3347円,87分,105.2%,1192件
33,1800-1849,3604円,83分,105.8%,1204件
34,1850-1899,3555円,80分,105.9%,1177件
35,1900-1949,3779円,77分,106.6%,1119件
36,1950-1999,3767円,72分,107%,1143件
37,2000-2049,4261円,70分,108.1%,1100件
38,2050-2099,4208円,68分,108.3%,1087件
39,2100-2149,4822円,65分,110%,1076件
40,2150-2199,4801円,62分,110.4%,988件
41,2200-2249,4645円,58分,110.7%,970件
42,2250-2299,5143円,55分,112.4%,960件
43,2300-2349,5604円,51分,114.8%,968件
44,2350-2399,5777円,49分,115.9%,885件
45,2400-2449,5958円,46分,117.4%,938件
46,2450-2499,6620円,44分,120%,844件
47,2500-2549,7005円,43分,121.6%,826件
48,2550-2599,7487円,41分,124.2%,786件
49,2600-2649,8059円,40分,127%,700件
50,2650-2699,8766円,37分,131.7%,584件
51,2700-2749,9437円,34分,136.5%,514件
52,2750-2799,10112円,31分,142.9%,397件
53,2800-2849,11156円,29分,151.9%,300件
54,2850-2899,12073円,25分,163.7%,266件
55,2900-2949,13140円,23分,176.7%,182件
