,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,4948円,124分,105.3%,23件
1,1150-1199,4279円,116分,104.9%,29件
2,1200-1249,7008円,123分,107.6%,28件
3,1250-1299,6381円,117分,107.3%,42件
4,1300-1349,6534円,107分,108.2%,38件
5,1350-1399,5707円,112分,106.8%,42件
6,1400-1449,5085円,103分,106.6%,51件
7,1450-1499,6794円,99分,109.2%,64件
8,1500-1549,7229円,102分,109.4%,43件
9,1550-1599,6550円,100分,108.8%,49件
10,1600-1649,4596円,93分,106.6%,50件
11,1650-1699,5557円,89分,108.3%,52件
12,1700-1749,6696円,88分,110.1%,61件
13,1750-1799,6815円,84分,110.8%,49件
14,1800-1849,4619円,82分,107.5%,58件
15,1850-1899,6535円,78分,111.2%,61件
16,1900-1949,5698円,71分,110.7%,42件
17,1950-1999,6986円,70分,113.4%,62件
18,2000-2049,7847円,70分,114.9%,62件
19,2050-2099,4951円,64分,110.3%,54件
20,2100-2149,7425円,61分,116.3%,67件
21,2150-2199,6410円,62分,113.9%,67件
22,2200-2249,5821円,53分,114.5%,61件
23,2250-2299,7168円,50分,119.3%,57件
24,2300-2349,7270円,49分,119.6%,58件
25,2350-2399,6407円,46分,118.6%,58件
26,2400-2449,8034円,43分,125.2%,40件
27,2450-2499,6348円,46分,118.6%,41件
28,2500-2549,6989円,44分,121.2%,47件
29,2550-2599,9606円,38分,133.9%,39件
30,2600-2649,10078円,32分,141.9%,25件
31,2650-2699,10333円,33分,142.3%,30件
32,2700-2749,9550円,34分,137.2%,29件
33,2750-2799,10812円,31分,146.6%,36件
34,2800-2849,11256円,30分,150.5%,35件
35,2850-2899,12951円,25分,169.6%,28件
36,2900-2949,13443円,22分,182.4%,18件
