,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-2039円,157分,98.3%,2701件
1,300-349,-2030円,156分,98.3%,3527件
2,350-399,-1966円,155分,98.3%,3180件
3,400-449,-1330円,151分,98.8%,2982件
4,450-499,-1456円,150分,98.7%,2564件
5,500-549,-1460円,148分,98.7%,2340件
6,550-599,-1225円,147分,98.9%,2199件
7,600-649,-754円,142分,99.3%,2101件
8,650-699,-1049円,143分,99%,1842件
9,700-749,-727円,141分,99.3%,1804件
10,750-799,-174円,137分,99.8%,1665件
11,800-849,217円,134分,100.2%,1609件
12,850-899,-59円,131分,99.9%,2851件
13,900-949,87円,131分,100.1%,1650件
14,950-999,57円,128分,100.1%,1700件
15,1000-1049,492円,126分,100.5%,1464件
16,1050-1099,741円,124分,100.8%,1312件
17,1100-1149,819円,121分,100.9%,1278件
18,1150-1199,624円,120分,100.7%,1249件
19,1200-1249,436円,117分,100.5%,1139件
20,1250-1299,1363円,113分,101.6%,1174件
21,1300-1349,2132円,112分,102.5%,1067件
22,1350-1399,1634円,109分,102%,1093件
23,1400-1449,1784円,106分,102.2%,1084件
24,1450-1499,1803円,103分,102.3%,1050件
25,1500-1549,2112円,100分,102.8%,1091件
26,1550-1599,2721円,97分,103.7%,994件
27,1600-1649,3097円,94分,104.4%,1021件
28,1650-1699,2951円,93分,104.2%,882件
29,1700-1749,3102円,89分,104.7%,919件
30,1750-1799,3444円,88分,105.2%,868件
31,1800-1849,2941円,84分,104.7%,836件
32,1850-1899,3584円,80分,106%,826件
33,1900-1949,4035円,76分,107.1%,834件
34,1950-1999,4257円,73分,107.8%,802件
35,2000-2049,4200円,70分,108%,777件
36,2050-2099,4105円,65分,108.4%,805件
37,2100-2149,4441円,63分,109.4%,740件
38,2150-2199,4907円,61分,110.8%,759件
39,2200-2249,5177円,57分,112.2%,763件
40,2250-2299,5004円,54分,112.4%,648件
41,2300-2349,5014円,50分,113.4%,680件
42,2350-2399,5675円,48分,115.7%,661件
43,2400-2449,6191円,45分,118.2%,658件
44,2450-2499,6621円,44分,119.9%,608件
45,2500-2549,6421円,43分,119.9%,625件
46,2550-2599,7587円,40分,125.2%,572件
47,2600-2649,8133円,39分,127.9%,559件
48,2650-2699,8442円,37分,130.6%,525件
49,2700-2749,9023円,35分,134.2%,476件
50,2750-2799,10072円,32分,142.6%,386件
51,2800-2849,10987円,28分,151.7%,346件
52,2850-2899,11588円,25分,161.3%,273件
53,2900-2949,12899円,23分,176.2%,185件
