,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,5058円,105分,106.4%,14件
1,1250-1299,6003円,113分,107.1%,19件
2,1300-1349,7733円,99分,110.4%,25件
3,1350-1399,6341円,104分,108.1%,31件
4,1400-1449,7864円,96分,111%,16件
5,1450-1499,5760円,104分,107.4%,16件
6,1500-1549,7546円,95分,110.6%,26件
7,1550-1599,5361円,99分,107.2%,29件
8,1600-1649,7671円,90分,111.4%,42件
9,1650-1699,8110円,91分,111.8%,32件
10,1700-1749,7335円,91分,110.7%,36件
11,1750-1799,8293円,78分,114.1%,30件
12,1800-1849,8206円,80分,113.6%,36件
13,1850-1899,5426円,70分,110.3%,26件
14,1900-1949,8308円,76分,114.6%,33件
15,1950-1999,7670円,69分,114.8%,43件
16,2000-2049,9209円,68分,118.1%,37件
17,2050-2099,6895円,66分,113.8%,38件
18,2100-2149,8171円,61分,117.8%,39件
19,2150-2199,9675円,52分,124.7%,32件
20,2200-2249,8603円,51分,122.3%,35件
21,2250-2299,8920円,45分,126.1%,44件
22,2300-2349,9480円,45分,127.9%,40件
23,2350-2399,6155円,44分,118.6%,40件
24,2400-2449,7503円,40分,124.8%,31件
25,2450-2499,8842円,37分,132.3%,48件
26,2500-2549,6268円,42分,119.9%,42件
27,2550-2599,7701円,36分,128.3%,38件
28,2600-2649,9133円,33分,136.8%,31件
29,2650-2699,10823円,30分,148.9%,39件
30,2700-2749,9660円,32分,140.2%,26件
31,2750-2799,10252円,28分,149.1%,23件
32,2800-2849,11196円,27分,156.3%,32件
33,2850-2899,12718円,25分,167.1%,30件
34,2900-2949,13157円,23分,176.5%,21件
