,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2440円,160分,98%,38260件
1,200-249,-2295円,160分,98.1%,11518件
2,250-299,-1874円,159分,98.4%,6180件
3,300-349,-1717円,154分,98.5%,4226件
4,350-399,-1526円,151分,98.7%,3453件
5,400-449,-1318円,151分,98.8%,2969件
6,450-499,-1036円,150分,99.1%,2878件
7,500-549,-937円,146分,99.1%,2721件
8,550-599,-1022円,146分,99.1%,2711件
9,600-649,-620円,141分,99.4%,2626件
10,650-699,-674円,140分,99.4%,2628件
11,700-749,-632円,138分,99.4%,2614件
12,750-799,-270円,137分,99.7%,2619件
13,800-849,-138円,134分,99.9%,2447件
14,850-899,-60円,131分,99.9%,2722件
15,900-949,178円,130分,100.2%,2784件
16,950-999,523円,127分,100.5%,2668件
17,1000-1049,826円,124分,100.9%,2579件
18,1050-1099,739円,123分,100.8%,2458件
19,1100-1149,477円,122分,100.5%,2449件
20,1150-1199,1036円,118分,101.2%,2307件
21,1200-1249,1273円,114分,101.5%,2250件
22,1250-1299,1299円,114分,101.5%,2137件
23,1300-1349,1533円,111分,101.8%,2100件
24,1350-1399,1780円,107分,102.2%,2093件
25,1400-1449,1619円,105分,102.1%,2079件
26,1450-1499,1897円,101分,102.5%,1951件
27,1500-1549,2133円,100分,102.8%,1882件
28,1550-1599,2591円,98分,103.5%,1949件
29,1600-1649,2810円,94分,104%,1820件
30,1650-1699,2953円,92分,104.3%,1841件
31,1700-1749,3040円,89分,104.6%,1845件
32,1750-1799,2813円,87分,104.3%,1704件
33,1800-1849,3545円,83分,105.7%,1645件
34,1850-1899,3269円,80分,105.5%,1663件
35,1900-1949,3535円,76分,106.2%,1623件
36,1950-1999,3483円,72分,106.5%,1516件
37,2000-2049,4214円,69分,108.1%,1554件
38,2050-2099,4574円,66分,109.2%,1482件
39,2100-2149,4493円,63分,109.5%,1458件
40,2150-2199,4443円,60分,109.9%,1415件
41,2200-2249,4881円,57分,111.5%,1415件
42,2250-2299,5110円,53分,112.8%,1367件
43,2300-2349,5216円,51分,113.7%,1262件
44,2350-2399,5840円,46分,116.8%,1279件
45,2400-2449,5688円,46分,116.5%,1228件
46,2450-2499,6190円,44分,118.7%,1206件
47,2500-2549,6731円,42分,121.6%,1217件
48,2550-2599,7205円,40分,123.7%,1171件
49,2600-2649,7104円,40分,123.4%,938件
