,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1250-1299,8816円,119分,109.9%,42件
1,1300-1349,8746円,108分,110.7%,38件
2,1350-1399,8012円,115分,109.3%,42件
3,1400-1449,7160円,105分,109.1%,51件
4,1450-1499,8860円,101分,111.7%,64件
5,1500-1549,9395円,104分,112%,43件
6,1550-1599,8626円,102分,111.3%,49件
7,1600-1649,6455円,95分,109.1%,50件
8,1650-1699,7425円,91分,110.9%,52件
9,1700-1749,8560円,90分,112.7%,61件
10,1750-1799,8602円,86分,113.4%,49件
11,1800-1849,6209円,83分,110%,58件
12,1850-1899,8160円,80分,113.7%,61件
13,1900-1949,7132円,72分,113.2%,42件
14,1950-1999,8504円,71分,116%,62件
15,2000-2049,9397円,72分,117.5%,62件
16,2050-2099,6209円,65分,112.7%,54件
17,2100-2149,8762円,62分,118.9%,67件
18,2150-2199,7715円,63分,116.4%,67件
19,2200-2249,6924円,54分,117%,61件
20,2250-2299,8226円,50分,121.7%,57件
21,2300-2349,8361円,50分,122.1%,58件
22,2350-2399,7397円,47分,121.1%,58件
23,2400-2449,9007円,43分,127.7%,40件
24,2450-2499,7321円,46分,121%,41件
25,2500-2549,7962円,45分,123.7%,47件
26,2550-2599,10579円,39分,136.5%,39件
27,2600-2649,11051円,33分,144.8%,25件
28,2650-2699,11306円,33分,145.1%,30件
29,2700-2749,10523円,35分,140%,29件
30,2750-2799,11785円,32分,149.4%,36件
31,2800-2849,12229円,31分,153.3%,35件
32,2850-2899,13924円,26分,172.3%,28件
33,2900-2949,14416円,23分,185%,18件
