,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,3017円,141分,102.9%,66件
1,800-849,5005円,130分,105.1%,72件
2,850-899,4650円,121分,105.1%,88件
3,900-949,2623円,127分,102.8%,123件
4,950-999,3944円,128分,104.1%,123件
5,1000-1049,3849円,124分,104.1%,125件
6,1050-1099,3438円,124分,103.7%,149件
7,1100-1149,2690円,125分,102.9%,154件
8,1150-1199,4699円,122分,105.1%,164件
9,1200-1249,5733円,115分,106.7%,171件
10,1250-1299,3752円,115分,104.3%,176件
11,1300-1349,3490円,112分,104.2%,223件
12,1350-1399,5378円,107分,106.7%,200件
13,1400-1449,5400円,110分,106.5%,206件
14,1450-1499,5571円,101分,107.3%,197件
15,1500-1549,6167円,95分,108.7%,208件
16,1550-1599,6103円,96分,108.5%,188件
17,1600-1649,6111円,97分,108.4%,190件
18,1650-1699,5942円,90分,108.8%,166件
19,1700-1749,5315円,87分,108.1%,158件
20,1750-1799,5968円,88分,109%,166件
21,1800-1849,5952円,80分,109.9%,152件
22,1850-1899,6336円,80分,110.6%,146件
23,1900-1949,6475円,75分,111.4%,160件
24,1950-1999,6278円,74分,111.3%,144件
25,2000-2049,7262円,69分,114%,123件
26,2050-2099,7978円,70分,115.3%,137件
27,2100-2149,7008円,63分,114.7%,119件
28,2150-2199,8966円,57分,121.1%,102件
29,2200-2249,6555円,57分,115.4%,94件
30,2250-2299,7365円,50分,119.6%,80件
31,2300-2349,6587円,47分,118.8%,109件
32,2350-2399,8563円,42分,127.4%,119件
33,2400-2449,8856円,39分,130.2%,91件
34,2450-2499,8947円,42分,128.7%,85件
35,2500-2549,8766円,42分,127.8%,77件
36,2550-2599,10225円,37分,136.4%,86件
37,2600-2649,9525円,37分,134.1%,80件
38,2650-2699,10497円,36分,139.2%,72件
39,2700-2749,10522円,34分,141.1%,75件
40,2750-2799,11187円,31分,147.8%,71件
41,2800-2849,11248円,28分,153.1%,67件
42,2850-2899,13142円,26分,166.9%,86件
43,2900-2949,13787円,21分,185.9%,63件
