,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,4068円,136分,104%,1125件
1,850-899,2873円,137分,102.8%,1331件
2,900-949,3267円,132分,103.3%,1295件
3,950-999,3304円,130分,103.4%,1341件
4,1000-1049,4092円,127分,104.3%,1192件
5,1050-1099,3746円,124分,104%,1180件
6,1100-1149,3964円,124分,104.3%,1052件
7,1150-1199,4229円,120分,104.7%,1028件
8,1200-1249,3927円,120分,104.3%,915件
9,1250-1299,3769円,114分,104.4%,861件
10,1300-1349,4401円,113分,105.2%,882件
11,1350-1399,4908円,110分,105.9%,801件
12,1400-1449,4257円,109分,105.2%,754件
13,1450-1499,4506円,107分,105.6%,789件
14,1500-1549,5370円,100分,107.1%,802件
15,1550-1599,4930円,98分,106.7%,748件
16,1600-1649,5695円,97分,107.8%,629件
17,1650-1699,5473円,94分,107.8%,630件
18,1700-1749,5695円,91分,108.3%,628件
19,1750-1799,5222円,88分,107.9%,612件
20,1800-1849,5471円,84分,108.6%,615件
21,1850-1899,5851円,80分,109.7%,569件
22,1900-1949,5888円,78分,110%,546件
23,1950-1999,5901円,73分,110.8%,542件
24,2000-2049,6003円,71分,111.3%,511件
25,2050-2099,5798円,67分,111.5%,508件
26,2100-2149,6097円,66分,112.3%,488件
27,2150-2199,6416円,61分,113.9%,476件
28,2200-2249,6753円,57分,115.8%,462件
29,2250-2299,6833円,55分,116.5%,462件
30,2300-2349,6992円,51分,118.3%,422件
31,2350-2399,6951円,50分,118.7%,407件
32,2400-2449,6984円,47分,119.8%,372件
33,2450-2499,7802円,45分,123.1%,386件
34,2500-2549,8015円,44分,124.5%,371件
35,2550-2599,8656円,42分,127.5%,358件
36,2600-2649,9247円,40分,131.1%,389件
37,2650-2699,9957円,37分,135.6%,350件
38,2700-2749,10428円,35分,140.2%,372件
39,2750-2799,11457円,33分,146.8%,325件
40,2800-2849,11988円,30分,153.7%,307件
41,2850-2899,13031円,27分,165.5%,282件
42,2900-2949,13911円,23分,180%,247件
