,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-877円,153分,99.2%,207件
1,350-399,-1289円,150分,98.9%,276件
2,400-449,-1734円,155分,98.5%,334件
3,450-499,-954円,144分,99.1%,419件
4,500-549,-1894円,146分,98.3%,495件
5,550-599,-338円,145分,99.7%,544件
6,600-649,-675円,143分,99.4%,571件
7,650-699,-532円,142分,99.5%,639件
8,700-749,-725円,141分,99.3%,675件
9,750-799,19円,137分,100%,685件
10,800-849,121円,134分,100.1%,766件
11,850-899,-262円,134分,99.7%,770件
12,900-949,-110円,133分,99.9%,863件
13,950-999,561円,127分,100.6%,889件
14,1000-1049,332円,130分,100.3%,861件
15,1050-1099,533円,124分,100.6%,861件
16,1100-1149,986円,120分,101.1%,812件
17,1150-1199,1027円,121分,101.1%,748件
18,1200-1249,971円,117分,101.1%,802件
19,1250-1299,1698円,113分,102%,745件
20,1300-1349,1551円,110分,101.9%,725件
21,1350-1399,1065円,110分,101.3%,688件
22,1400-1449,1680円,107分,102.1%,685件
23,1450-1499,2214円,102分,102.9%,651件
24,1500-1549,2451円,99分,103.3%,693件
25,1550-1599,2537円,99分,103.4%,640件
26,1600-1649,2539円,93分,103.6%,589件
27,1650-1699,3053円,92分,104.4%,537件
28,1700-1749,3464円,89分,105.2%,546件
29,1750-1799,4035円,84分,106.4%,474件
30,1800-1849,3008円,84分,104.8%,446件
31,1850-1899,4523円,80分,107.5%,429件
32,1900-1949,3590円,76分,106.3%,426件
33,1950-1999,3991円,73分,107.3%,436件
34,2000-2049,4492円,69分,108.7%,426件
35,2050-2099,4455円,66分,108.9%,396件
36,2100-2149,4167円,64分,108.7%,376件
37,2150-2199,5138円,59分,111.5%,363件
38,2200-2249,4497円,58分,110.3%,355件
39,2250-2299,5633円,54分,113.9%,312件
40,2300-2349,4771円,51分,112.4%,330件
41,2350-2399,5601円,47分,115.8%,315件
42,2400-2449,6172円,45分,118.4%,318件
43,2450-2499,6387円,45分,119.1%,376件
44,2500-2549,6505円,43分,120.1%,300件
45,2550-2599,7293円,41分,123.8%,274件
46,2600-2649,8079円,39分,127.7%,282件
47,2650-2699,8890円,37分,132.4%,271件
48,2700-2749,9249円,34分,136%,249件
49,2750-2799,10171円,31分,144.1%,236件
50,2800-2849,11365円,29分,151.7%,231件
51,2850-2899,12271円,25分,164.4%,238件
52,2900-2949,13304円,22分,179.5%,187件
