,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1600-1649,9240円,97分,112.7%,18件
1,1650-1699,7422円,98分,110.1%,22件
2,1700-1749,9069円,83分,114.6%,26件
3,1750-1799,9377円,93分,113.5%,18件
4,1800-1849,8641円,90分,112.9%,24件
5,1850-1899,10252円,75分,118.2%,22件
6,1900-1949,9350円,72分,117.4%,23件
7,1950-1999,6058円,65分,112.4%,19件
8,2000-2049,9322円,70分,117.9%,20件
9,2050-2099,10074円,67分,120%,32件
10,2100-2149,11097円,58分,125.4%,26件
11,2150-2199,8503円,57分,119.7%,29件
12,2200-2249,8836円,51分,122.9%,26件
13,2250-2299,9751円,47分,127.9%,16件
14,2300-2349,9731円,42分,131.2%,25件
15,2350-2399,9302円,35分,135.7%,28件
16,2400-2449,9241円,39分,131.4%,22件
17,2450-2499,7541円,42分,123.8%,31件
18,2500-2549,7161円,44分,121.9%,20件
19,2550-2599,9061円,38分,131.9%,30件
20,2600-2649,7631円,40分,125.5%,32件
21,2650-2699,9970円,32分,141%,31件
22,2700-2749,10506円,31分,145.9%,21件
23,2750-2799,11001円,30分,149%,20件
24,2800-2849,11625円,29分,153.4%,18件
25,2850-2899,12486円,24分,168.5%,14件
26,2900-2949,12593円,22分,177.1%,17件
