,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-1045円,153分,99.1%,22428件
1,350-399,-800円,153分,99.3%,6825件
2,400-449,-371円,151分,99.7%,3591件
3,450-499,-284円,148分,99.7%,2463件
4,500-549,-18円,146分,100%,2055件
5,550-599,-188円,145分,99.8%,1722件
6,600-649,-96円,144分,99.9%,1659件
7,650-699,260円,141分,100.2%,1587件
8,700-749,162円,139分,100.2%,1605件
9,750-799,577円,136分,100.6%,1489件
10,800-849,409円,134分,100.4%,1523件
11,850-899,545円,132分,100.6%,1523件
12,900-949,1078円,131分,101.1%,1537件
13,950-999,823円,127分,100.9%,1360件
14,1000-1049,1311円,124分,101.4%,1601件
15,1050-1099,1591円,121分,101.8%,1630件
16,1100-1149,1846円,120分,102.1%,1550件
17,1150-1199,2170円,117分,102.5%,1489件
18,1200-1249,2317円,117分,102.6%,1423件
19,1250-1299,1991円,114分,102.3%,1452件
20,1300-1349,2296円,111分,102.8%,1328件
21,1350-1399,2353円,107分,102.9%,1259件
22,1400-1449,2965円,106分,103.7%,1208件
23,1450-1499,2441円,103分,103.2%,1218件
24,1500-1549,3168円,100分,104.2%,1210件
25,1550-1599,2973円,97分,104.1%,1188件
26,1600-1649,3244円,93分,104.6%,1108件
27,1650-1699,3393円,92分,104.9%,1054件
28,1700-1749,4014円,89分,106%,1097件
29,1750-1799,4139円,85分,106.5%,1046件
30,1800-1849,4173円,84分,106.6%,1026件
31,1850-1899,4457円,81分,107.4%,1046件
32,1900-1949,4538円,79分,107.7%,1014件
33,1950-1999,4936円,75分,108.8%,933件
34,2000-2049,5034円,70分,109.6%,969件
35,2050-2099,4802円,66分,109.7%,940件
36,2100-2149,4843円,61分,110.6%,870件
37,2150-2199,5671円,59分,112.9%,883件
38,2200-2249,5863円,56分,114%,863件
39,2250-2299,5730円,52分,114.6%,813件
40,2300-2349,5954円,49分,116.2%,825件
41,2350-2399,6622円,46分,119.4%,805件
42,2400-2449,6454円,44分,119.7%,773件
43,2450-2499,6790円,43分,121%,737件
44,2500-2549,7539円,41分,124.4%,702件
45,2550-2599,7747円,39分,126.2%,707件
46,2600-2649,7906円,39分,127.4%,654件
47,2650-2699,8572円,36分,132.2%,700件
48,2700-2749,9185円,34分,136%,634件
49,2750-2799,8985円,34分,134.9%,547件
