,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1822円,148分,101.6%,112件
1,600-649,1224円,143分,101.1%,151件
2,650-699,2590円,142分,102.4%,157件
3,700-749,2426円,141分,102.3%,171件
4,750-799,2327円,139分,102.2%,193件
5,800-849,1868円,139分,101.8%,235件
6,850-899,2401円,135分,102.4%,231件
7,900-949,2742円,133分,102.7%,232件
8,950-999,3588円,128分,103.7%,306件
9,1000-1049,3778円,126分,104%,287件
10,1050-1099,2896円,124分,103.1%,342件
11,1100-1149,3759円,125分,104%,332件
12,1150-1199,3217円,120分,103.6%,341件
13,1200-1249,2804円,118分,103.2%,389件
14,1250-1299,3630円,118分,104.1%,381件
15,1300-1349,3860円,113分,104.6%,323件
16,1350-1399,3270円,114分,103.8%,337件
17,1400-1449,3907円,107分,104.9%,351件
18,1450-1499,3361円,107分,104.2%,339件
19,1500-1549,4158円,101分,105.5%,341件
20,1550-1599,3554円,98分,104.8%,334件
21,1600-1649,5378円,95分,107.5%,333件
22,1650-1699,5521円,94分,107.9%,368件
23,1700-1749,4468円,90分,106.6%,295件
24,1750-1799,4734円,87分,107.2%,300件
25,1800-1849,5482円,82分,108.9%,283件
26,1850-1899,5564円,78分,109.5%,280件
27,1900-1949,6180円,77分,110.8%,255件
28,1950-1999,6071円,74分,110.9%,248件
29,2000-2049,5938円,69分,111.5%,229件
30,2050-2099,6656円,68分,113.1%,227件
31,2100-2149,6923円,63分,114.6%,224件
32,2150-2199,5934円,62分,112.7%,221件
33,2200-2249,4595円,61分,110%,199件
34,2250-2299,6436円,53分,116.3%,184件
35,2300-2349,6439円,52分,116.6%,181件
36,2350-2399,6691円,48分,118.6%,188件
37,2400-2449,6719円,47分,119%,185件
38,2450-2499,7303円,44分,122.2%,158件
39,2500-2549,6997円,44分,121.4%,172件
40,2550-2599,7679円,43分,123.8%,140件
41,2600-2649,9205円,38分,132.3%,158件
42,2650-2699,9806円,38分,134.7%,125件
43,2700-2749,10359円,34分,141%,155件
44,2750-2799,10622円,34分,141.3%,123件
45,2800-2849,11872円,30分,153.6%,116件
46,2850-2899,13049円,26分,167.2%,113件
47,2900-2949,13814円,24分,177.5%,116件
