,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-3034円,162分,97.5%,592件
1,150-199,-1926円,159分,98.4%,1059件
2,200-249,-2731円,159分,97.7%,1493件
3,250-299,-2355円,156分,98%,1761件
4,300-349,-1831円,153分,98.4%,1978件
5,350-399,-1544円,151分,98.6%,2042件
6,400-449,-1356円,148分,98.8%,2078件
7,450-499,-1289円,149分,98.8%,2172件
8,500-549,-1068円,146分,99%,2171件
9,550-599,-1185円,145分,98.9%,2160件
10,600-649,-1035円,142分,99%,2136件
11,650-699,-70円,139分,99.9%,2149件
12,700-749,-970円,139分,99.1%,2480件
13,750-799,-387円,135分,99.6%,2425件
14,800-849,-584円,134分,99.4%,2420件
15,850-899,122円,131分,100.1%,2269件
16,900-949,-20円,130分,100%,2168件
17,950-999,241円,127分,100.3%,1910件
18,1000-1049,356円,125分,100.4%,1854件
19,1050-1099,580円,125分,100.6%,1723件
20,1100-1149,414円,119分,100.5%,1605件
21,1150-1199,1038円,118分,101.2%,1615件
22,1200-1249,1213円,115分,101.4%,1513件
23,1250-1299,1268円,115分,101.5%,1436件
24,1300-1349,1311円,111分,101.6%,1493件
25,1350-1399,2019円,107分,102.5%,1463件
26,1400-1449,1395円,104分,101.8%,1346件
27,1450-1499,2250円,103分,102.9%,1168件
28,1500-1549,2321円,101分,103.1%,1192件
29,1550-1599,2476円,99分,103.3%,1206件
30,1600-1649,2429円,94分,103.4%,1112件
31,1650-1699,2924円,90分,104.3%,1160件
32,1700-1749,3111円,88分,104.7%,1045件
33,1750-1799,3764円,85分,105.9%,1053件
34,1800-1849,3248円,81分,105.3%,1044件
35,1850-1899,3555円,79分,106%,949件
36,1900-1949,3641円,75分,106.4%,984件
37,1950-1999,3685円,75分,106.6%,939件
38,2000-2049,4211円,70分,108%,909件
39,2050-2099,4793円,67分,109.6%,850件
40,2100-2149,4679円,64分,109.8%,886件
41,2150-2199,5069円,61分,111.1%,791件
42,2200-2249,4750円,58分,111%,773件
43,2250-2299,5120円,54分,112.6%,717件
44,2300-2349,5655円,50分,115.2%,733件
45,2350-2399,5554円,47分,115.8%,717件
46,2400-2449,5901円,46分,117.3%,676件
47,2450-2499,6785円,43分,120.9%,734件
48,2500-2549,7346円,41分,123.7%,688件
49,2550-2599,7261円,40分,124.1%,676件
50,2600-2649,8141円,38分,128.4%,600件
51,2650-2699,8601円,36分,131.5%,592件
52,2700-2749,9382円,34分,137.1%,530件
53,2750-2799,10010円,32分,141.8%,482件
54,2800-2849,11026円,29分,151.3%,420件
55,2850-2899,11739円,25分,161.8%,364件
56,2900-2949,12675円,23分,174.6%,278件
