,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,-486円,126分,99.5%,21件
1,850-899,113円,143分,100.1%,37件
2,900-949,3156円,123分,103.4%,30件
3,950-999,208円,127分,100.2%,40件
4,1000-1049,1315円,131分,101.3%,35件
5,1050-1099,2686円,126分,102.8%,56件
6,1100-1149,1769円,119分,102%,58件
7,1150-1199,1927円,117分,102.2%,69件
8,1200-1249,2711円,117分,103.1%,78件
9,1250-1299,2411円,115分,102.8%,87件
10,1300-1349,2111円,108分,102.6%,74件
11,1350-1399,2996円,108分,103.7%,86件
12,1400-1449,2703円,104分,103.5%,80件
13,1450-1499,2717円,99分,103.7%,89件
14,1500-1549,1840円,100分,102.5%,101件
15,1550-1599,2966円,96分,104.1%,99件
16,1600-1649,3657円,91分,105.3%,126件
17,1650-1699,3765円,91分,105.5%,107件
18,1700-1749,4372円,91分,106.4%,116件
19,1750-1799,4761円,88分,107.2%,103件
20,1800-1849,4064円,83分,106.6%,90件
21,1850-1899,4454円,78分,107.6%,126件
22,1900-1949,4117円,74分,107.4%,115件
23,1950-1999,3580円,74分,106.5%,103件
24,2000-2049,6218円,68分,112.2%,107件
25,2050-2099,4122円,66分,108.3%,75件
26,2100-2149,3975円,64分,108.2%,87件
27,2150-2199,4830円,63分,110.3%,68件
28,2200-2249,4975円,58分,111.4%,70件
29,2250-2299,5149円,52分,113.3%,73件
30,2300-2349,6814円,47分,119.3%,76件
31,2350-2399,6566円,44分,119.8%,61件
32,2400-2449,5489円,46分,116%,63件
33,2450-2499,6873円,44分,121.1%,67件
34,2500-2549,6760円,42分,121.5%,56件
35,2550-2599,7264円,41分,123.6%,68件
36,2600-2649,7242円,42分,123%,62件
37,2650-2699,8411円,36分,131%,53件
38,2700-2749,9626円,34分,137.8%,47件
39,2750-2799,9666円,30分,142.3%,44件
40,2800-2849,11249円,27分,155.3%,46件
41,2850-2899,12033円,27分,159.8%,59件
42,2900-2949,12798円,23分,175.4%,52件
