,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,882円,144分,100.8%,1138件
1,550-599,218円,144分,100.2%,1439件
2,600-649,744円,141分,100.7%,1349件
3,650-699,1272円,137分,101.2%,1216件
4,700-749,1417円,136分,101.4%,1054件
5,750-799,1135円,137分,101.1%,937件
6,800-849,1170円,134分,101.2%,918件
7,850-899,1717円,130分,101.8%,865件
8,900-949,1242円,131分,101.3%,775件
9,950-999,2199円,127分,102.3%,733件
10,1000-1049,2310円,123分,102.5%,644件
11,1050-1099,2805円,121分,103.1%,649件
12,1100-1149,2494円,119分,102.8%,1166件
13,1150-1199,2434円,116分,102.8%,645件
14,1200-1249,3041円,113分,103.6%,687件
15,1250-1299,3167円,111分,103.8%,625件
16,1300-1349,3290円,109分,104%,542件
17,1350-1399,2633円,108分,103.3%,516件
18,1400-1449,3633円,104分,104.6%,532件
19,1450-1499,3297円,103分,104.3%,461件
20,1500-1549,4157円,98分,105.7%,448件
21,1550-1599,4403円,96分,106.1%,423件
22,1600-1649,4122円,95分,105.8%,442件
23,1650-1699,4783円,91分,107%,479件
24,1700-1749,4893円,87分,107.5%,439件
25,1750-1799,4392円,86分,106.8%,429件
26,1800-1849,5529円,82分,109%,405件
27,1850-1899,5975円,79分,110.1%,383件
28,1900-1949,5440円,78分,109.4%,347件
29,1950-1999,6470円,74分,111.7%,396件
30,2000-2049,6900円,71分,113%,360件
31,2050-2099,6117円,66分,112.3%,348件
32,2100-2149,6498円,61分,114.2%,313件
33,2150-2199,6851円,57分,115.9%,321件
34,2200-2249,7600円,52分,119.6%,337件
35,2250-2299,7320円,50分,119.5%,307件
36,2300-2349,7106円,45分,120.9%,340件
37,2350-2399,7308円,44分,122.2%,299件
38,2400-2449,7306円,44分,122.4%,293件
39,2450-2499,8437円,40分,127.9%,311件
40,2500-2549,8067円,40分,126.8%,262件
41,2550-2599,8545円,38分,129.8%,290件
42,2600-2649,8960円,37分,132.2%,251件
43,2650-2699,9473円,35分,136.2%,240件
44,2700-2749,9990円,34分,139.2%,226件
45,2750-2799,10277円,31分,144%,250件
46,2800-2849,10875円,28分,151.6%,204件
47,2850-2899,12325円,25分,164.5%,219件
48,2900-2949,12766円,22分,177.3%,184件
