,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,5707円,141分,105.4%,104件
1,750-799,5661円,137分,105.5%,215件
2,800-849,6146円,131分,106.3%,248件
3,850-899,7098円,124分,107.6%,257件
4,900-949,6238円,129分,106.4%,255件
5,950-999,6233円,123分,106.7%,274件
6,1000-1049,6032円,125分,106.4%,270件
7,1050-1099,6550円,126分,106.9%,268件
8,1100-1149,7213円,115分,108.3%,284件
9,1150-1199,7045円,118分,108%,273件
10,1200-1249,7438円,112分,108.8%,244件
11,1250-1299,6580円,115分,107.6%,300件
12,1300-1349,7378円,106分,109.3%,295件
13,1350-1399,7735円,107分,109.6%,342件
14,1400-1449,7574円,106分,109.5%,255件
15,1450-1499,7230円,101分,109.6%,284件
16,1500-1549,8444円,99分,111.3%,213件
17,1550-1599,7942円,96分,111%,229件
18,1600-1649,8892円,94分,112.6%,201件
19,1650-1699,7408円,88分,111.3%,191件
20,1700-1749,9351円,87分,114.3%,193件
21,1750-1799,8964円,84分,114.2%,168件
22,1800-1849,8632円,81分,114.1%,183件
23,1850-1899,9946円,76分,117.4%,196件
24,1900-1949,8802円,76分,115.5%,205件
25,1950-1999,8715円,75分,115.4%,188件
26,2000-2049,9075円,72分,116.8%,143件
27,2050-2099,9215円,67分,118.3%,158件
28,2100-2149,10289円,63分,121.7%,137件
29,2150-2199,10439円,61分,122.8%,151件
30,2200-2249,9306円,57分,121.9%,139件
31,2250-2299,9785円,51分,125.5%,138件
32,2300-2349,9915円,44分,130.1%,133件
33,2350-2399,9542円,41分,131.3%,143件
34,2400-2449,10443円,39分,135.4%,115件
35,2450-2499,11239円,36分,141.2%,124件
36,2500-2549,11378円,36分,141.6%,108件
37,2550-2599,10721円,36分,139.5%,105件
38,2600-2649,11475円,34分,145.2%,87件
39,2650-2699,12287円,34分,148.2%,99件
40,2700-2749,13120円,32分,155.4%,93件
41,2750-2799,12740円,32分,153.5%,89件
42,2800-2849,13386円,27分,165%,89件
43,2850-2899,13672円,27分,168.6%,92件
44,2900-2949,14573円,24分,180.3%,65件
