,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1350-1399,11302円,108分,113.9%,97件
1,1400-1449,9651円,109分,111.8%,104件
2,1450-1499,8012円,106分,110.1%,125件
3,1500-1549,10979円,102分,114.3%,123件
4,1550-1599,11056円,103分,114.3%,125件
5,1600-1649,10647円,94分,115.1%,132件
6,1650-1699,11722円,86分,118.1%,129件
7,1700-1749,11091円,87分,117%,104件
8,1750-1799,11755円,88分,117.8%,107件
9,1800-1849,11619円,82分,118.9%,97件
10,1850-1899,10187円,78分,117.5%,107件
11,1900-1949,10785円,80分,118%,92件
12,1950-1999,10870円,70分,120.6%,89件
13,2000-2049,10191円,70分,119.3%,81件
14,2050-2099,10512円,68分,120.6%,97件
15,2100-2149,11066円,63分,123.2%,85件
16,2150-2199,13132円,59分,129.8%,67件
17,2200-2249,12866円,60分,128.4%,77件
18,2250-2299,11333円,52分,128.9%,62件
19,2300-2349,13753円,46分,139.8%,55件
20,2350-2399,10431円,45分,130.8%,54件
21,2400-2449,10843円,40分,136%,41件
22,2450-2499,10598円,39分,136.5%,64件
23,2500-2549,12882円,33分,152.1%,64件
24,2550-2599,12376円,34分,149.2%,53件
25,2600-2649,12741円,36分,147.4%,52件
26,2650-2699,12898円,35分,148.5%,44件
27,2700-2749,14119円,31分,160.8%,46件
28,2750-2799,13669円,30分,160.4%,47件
29,2800-2849,15195円,30分,168.5%,37件
30,2850-2899,15409円,26分,180.4%,48件
31,2900-2949,15215円,22分,192%,40件
