,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,1606円,148分,101.4%,1357件
1,500-549,1093円,148分,101%,1747件
2,550-599,1310円,145分,101.2%,1594件
3,600-649,1777円,141分,101.7%,1434件
4,650-699,2038円,139分,101.9%,1276件
5,700-749,1775円,140分,101.7%,1121件
6,750-799,1660円,138分,101.6%,1073件
7,800-849,2285円,132分,102.3%,1036件
8,850-899,1797円,136分,101.8%,926件
9,900-949,2818円,130分,102.9%,880件
10,950-999,2925円,127分,103.1%,791件
11,1000-1049,3307円,125分,103.5%,766件
12,1050-1099,2784円,123分,103%,1400件
13,1100-1149,2600円,122分,102.9%,799件
14,1150-1199,3452円,117分,103.9%,820件
15,1200-1249,3233円,116分,103.7%,727件
16,1250-1299,3702円,113分,104.3%,654件
17,1300-1349,3390円,111分,104.1%,617件
18,1350-1399,3850円,109分,104.7%,636件
19,1400-1449,3613円,107分,104.5%,560件
20,1450-1499,4185円,103分,105.4%,550件
21,1500-1549,4740円,100分,106.3%,508件
22,1550-1599,4327円,98分,105.9%,521件
23,1600-1649,4936円,95分,106.9%,577件
24,1650-1699,4615円,91分,106.7%,504件
25,1700-1749,4662円,90分,106.9%,519件
26,1750-1799,5573円,85分,108.7%,492件
27,1800-1849,6016円,83分,109.7%,453件
28,1850-1899,5518円,82分,109%,417件
29,1900-1949,6322円,77分,110.9%,468件
30,1950-1999,6847円,75分,112.1%,430件
31,2000-2049,5885円,70分,111.3%,415件
32,2050-2099,6199円,66分,112.5%,379件
33,2100-2149,6563円,62分,114.2%,390件
34,2150-2199,7284円,57分,117%,405件
35,2200-2249,7332円,54分,118%,384件
36,2250-2299,6649円,50分,117.6%,402件
37,2300-2349,6828円,48分,118.8%,352件
38,2350-2399,7180円,47分,120.5%,349件
39,2400-2449,7963円,44分,124.4%,372件
40,2450-2499,7624円,43分,123.9%,314件
41,2500-2549,8191円,41分,126.8%,353件
42,2550-2599,8662円,40分,128.7%,324件
43,2600-2649,9052円,38分,131.6%,303件
44,2650-2699,9569円,37分,134.4%,270件
45,2700-2749,9547円,35分,136.8%,300件
46,2750-2799,10409円,32分,143.6%,250件
47,2800-2849,11637円,29分,153.3%,259件
48,2850-2899,12325円,25分,165.3%,244件
49,2900-2949,13264円,23分,175.6%,206件
