,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2820円,159分,97.6%,3266件
1,250-299,-2847円,157分,97.6%,4200件
2,300-349,-2930円,157分,97.5%,3691件
3,350-399,-2286円,153分,98%,3484件
4,400-449,-2211円,152分,98.1%,3070件
5,450-499,-2110円,150分,98.1%,2818件
6,500-549,-1910円,149分,98.3%,2639件
7,550-599,-1430円,144分,98.7%,2510件
8,600-649,-1841円,145分,98.3%,2204件
9,650-699,-1429円,142分,98.7%,2147件
10,700-749,-822円,139分,99.2%,2020件
11,750-799,-564円,137分,99.5%,1906件
12,800-849,-768円,134分,99.2%,3452件
13,850-899,-676円,134分,99.3%,1960件
14,900-949,-638円,131分,99.4%,2026件
15,950-999,-299円,128分,99.7%,1730件
16,1000-1049,-34円,127分,100%,1550件
17,1050-1099,258円,123分,100.3%,1536件
18,1100-1149,-202円,122分,99.8%,1487件
19,1150-1199,-65円,119分,99.9%,1361件
20,1200-1249,756円,115分,100.9%,1414件
21,1250-1299,1281円,114分,101.5%,1270件
22,1300-1349,937円,112分,101.1%,1304件
23,1350-1399,1157円,108分,101.4%,1291件
24,1400-1449,1185円,105分,101.5%,1262件
25,1450-1499,1274円,103分,101.6%,1265件
26,1500-1549,2112円,100分,102.8%,1203件
27,1550-1599,2222円,97分,103.1%,1196件
28,1600-1649,2428円,95分,103.4%,1086件
29,1650-1699,2513円,91分,103.7%,1111件
30,1700-1749,2659円,90分,103.9%,1040件
31,1750-1799,2421円,86分,103.7%,1045件
32,1800-1849,2911円,83分,104.7%,973件
33,1850-1899,3321円,80分,105.6%,1013件
34,1900-1949,3272円,76分,105.7%,963件
35,1950-1999,3618円,73分,106.6%,934件
36,2000-2049,3535円,68分,106.9%,952件
37,2050-2099,3957円,66分,107.9%,892件
38,2100-2149,4017円,64分,108.3%,895件
39,2150-2199,4577円,61分,110.1%,909件
40,2200-2249,4657円,57分,110.9%,800件
41,2250-2299,4374円,54分,110.9%,799件
42,2300-2349,5007円,51分,113.1%,786件
43,2350-2399,5560円,47分,115.7%,791件
44,2400-2449,5970円,46分,117.4%,730件
45,2450-2499,5787円,44分,117.5%,755件
46,2500-2549,6865円,42分,121.7%,696件
47,2550-2599,7338円,41分,123.7%,679件
48,2600-2649,7722円,39分,126.3%,634件
49,2650-2699,8298円,38分,129.5%,574件
50,2700-2749,9214円,34分,135.9%,479件
51,2750-2799,9956円,31分,142.3%,412件
52,2800-2849,10527円,28分,149.6%,329件
53,2850-2899,11867円,25分,162.1%,242件
54,2900-2949,12745円,22分,178.3%,188件
