,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-1651円,158分,98.6%,251件
1,300-349,-1846円,156分,98.4%,355件
2,350-399,-1801円,155分,98.5%,415件
3,400-449,-1128円,144分,99%,531件
4,450-499,-2234円,148分,98%,595件
5,500-549,-824円,146分,99.2%,666件
6,550-599,-1101円,146分,99%,692件
7,600-649,-626円,143分,99.4%,792件
8,650-699,-1057円,141分,99%,805件
9,700-749,-376円,138分,99.6%,841件
10,750-799,-19円,136分,100%,950件
11,800-849,-615円,136分,99.4%,949件
12,850-899,-531円,135分,99.5%,1041件
13,900-949,97円,128分,100.1%,1069件
14,950-999,105円,131分,100.1%,1070件
15,1000-1049,213円,126分,100.2%,1050件
16,1050-1099,457円,123分,100.5%,981件
17,1100-1149,763円,123分,100.8%,946件
18,1150-1199,776円,118分,100.9%,973件
19,1200-1249,1285円,115分,101.5%,904件
20,1250-1299,1084円,112分,101.3%,864件
21,1300-1349,1003円,112分,101.2%,872件
22,1350-1399,1293円,110分,101.6%,846件
23,1400-1449,1908円,105分,102.4%,798件
24,1450-1499,1984円,103分,102.6%,841件
25,1500-1549,2114円,102分,102.8%,773件
26,1550-1599,2072円,96分,102.9%,719件
27,1600-1649,2532円,95分,103.6%,658件
28,1650-1699,2934円,92分,104.2%,651件
29,1700-1749,3712円,87分,105.7%,592件
30,1750-1799,2988円,86分,104.7%,549件
31,1800-1849,3943円,83分,106.3%,529件
32,1850-1899,3552円,79分,106%,533件
33,1900-1949,3661円,76分,106.4%,532件
34,1950-1999,3901円,72分,107.3%,511件
35,2000-2049,4228円,69分,108.1%,498件
36,2050-2099,3965円,67分,107.9%,468件
37,2100-2149,5013円,63分,110.7%,446件
38,2150-2199,4198円,62分,109%,442件
39,2200-2249,5327円,58分,112.3%,399件
40,2250-2299,4340円,54分,110.6%,404件
41,2300-2349,5169円,51分,113.6%,387件
42,2350-2399,5856円,46分,117%,395件
43,2400-2449,5707円,46分,116.5%,451件
44,2450-2499,5982円,44分,118%,360件
45,2500-2549,7003円,42分,122.4%,333件
46,2550-2599,7320円,41分,123.6%,335件
47,2600-2649,8292円,38分,129.1%,338件
48,2650-2699,8611円,36分,131.7%,309件
49,2700-2749,9351円,33分,137.7%,298件
50,2750-2799,10378円,32分,143.1%,284件
51,2800-2849,11110円,28分,152%,290件
52,2850-2899,12296円,25分,164.5%,255件
53,2900-2949,12839円,23分,173.5%,187件
