,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-1242円,160分,99%,1493件
1,250-299,-885円,157分,99.2%,1761件
2,300-349,-368円,155分,99.7%,1978件
3,350-399,-100円,152分,99.9%,2042件
4,400-449,63円,149分,100.1%,2078件
5,450-499,139円,150分,100.1%,2172件
6,500-549,338円,147分,100.3%,2171件
7,550-599,208円,146分,100.2%,2160件
8,600-649,326円,143分,100.3%,2136件
9,650-699,1294円,140分,101.2%,2149件
10,700-749,366円,140分,100.3%,2480件
11,750-799,929円,136分,100.9%,2425件
12,800-849,711円,135分,100.7%,2420件
13,850-899,1403円,132分,101.4%,2269件
14,900-949,1245円,131分,101.3%,2168件
15,950-999,1494円,128分,101.6%,1910件
16,1000-1049,1588円,126分,101.7%,1854件
17,1050-1099,1811円,126分,101.9%,1723件
18,1100-1149,1570円,120分,101.7%,1605件
19,1150-1199,2210円,119分,102.5%,1615件
20,1200-1249,2353円,116分,102.7%,1513件
21,1250-1299,2407円,116分,102.8%,1436件
22,1300-1349,2411円,112分,102.9%,1493件
23,1350-1399,3100円,108分,103.8%,1463件
24,1400-1449,2420円,105分,103.1%,1346件
25,1450-1499,3292円,104分,104.2%,1168件
26,1500-1549,3342円,102分,104.4%,1192件
27,1550-1599,3481円,100分,104.7%,1206件
28,1600-1649,3377円,95分,104.7%,1112件
29,1650-1699,3849円,91分,105.6%,1160件
30,1700-1749,4010円,88分,106%,1045件
31,1750-1799,4658円,86分,107.3%,1053件
32,1800-1849,4075円,82分,106.6%,1044件
33,1850-1899,4372円,80分,107.3%,949件
34,1900-1949,4417円,76分,107.7%,984件
35,1950-1999,4449円,75分,107.9%,939件
36,2000-2049,4952円,71分,109.3%,909件
37,2050-2099,5517円,68分,110.9%,850件
38,2100-2149,5357円,64分,111.1%,886件
39,2150-2199,5727円,61分,112.4%,791件
40,2200-2249,5362円,58分,112.2%,773件
41,2250-2299,5704円,55分,113.9%,717件
42,2300-2349,6203円,50分,116.5%,733件
43,2350-2399,6074円,47分,117.1%,717件
44,2400-2449,6414円,46分,118.6%,676件
45,2450-2499,7296円,44分,122.3%,734件
46,2500-2549,7782円,42分,124.9%,688件
47,2550-2599,7697円,41分,125.3%,676件
48,2600-2649,8577円,39分,129.7%,600件
49,2650-2699,9037円,37分,132.8%,592件
50,2700-2749,9818円,34分,138.3%,530件
51,2750-2799,10446円,32分,143.1%,482件
52,2800-2849,11462円,29分,152.7%,420件
53,2850-2899,12175円,26分,163.2%,364件
54,2900-2949,13111円,23分,175.8%,278件
