,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,-262円,137分,99.7%,25件
1,700-749,1312円,121分,101.4%,39件
2,750-799,-278円,147分,99.7%,52件
3,800-849,2794円,130分,102.9%,50件
4,850-899,155円,132分,100.2%,54件
5,900-949,814円,133分,100.8%,61件
6,950-999,981円,128分,101%,79件
7,1000-1049,1207円,125分,101.3%,82件
8,1050-1099,828円,125分,100.9%,101件
9,1100-1149,2036円,126分,102.2%,116件
10,1150-1199,1623円,120分,101.8%,122件
11,1200-1249,2710円,110分,103.3%,130件
12,1250-1299,2698円,113分,103.2%,135件
13,1300-1349,2908円,106分,103.7%,127件
14,1350-1399,2351円,107分,102.9%,135件
15,1400-1449,1115円,105分,101.4%,154件
16,1450-1499,2005円,102分,102.6%,138件
17,1500-1549,2858円,98分,103.9%,173件
18,1550-1599,2960円,95分,104.1%,152件
19,1600-1649,3571円,95分,105%,166件
20,1650-1699,4193円,93分,106%,161件
21,1700-1749,3854円,88分,105.8%,139件
22,1750-1799,3056円,85分,104.8%,165件
23,1800-1849,3826円,79分,106.4%,173件
24,1850-1899,3501円,78分,106%,155件
25,1900-1949,4906円,75分,108.7%,147件
26,1950-1999,4277円,72分,107.9%,119件
27,2000-2049,2947円,72分,105.5%,123件
28,2050-2099,4886円,68分,109.6%,123件
29,2100-2149,5162円,65分,110.6%,109件
30,2150-2199,5423円,58分,112.5%,132件
31,2200-2249,5369円,56分,112.8%,104件
32,2250-2299,6105円,50分,116.3%,103件
33,2300-2349,5528円,50分,114.7%,111件
34,2350-2399,6323円,46分,118.5%,98件
35,2400-2449,6488円,45分,119.4%,82件
36,2450-2499,6415円,44分,119.4%,95件
37,2500-2549,6977円,42分,122.1%,94件
38,2550-2599,6645円,41分,121.6%,80件
39,2600-2649,8418円,38分,129.9%,75件
40,2650-2699,8593円,36分,131.4%,66件
41,2700-2749,9597円,32分,139.4%,68件
42,2750-2799,10277円,33分,142%,93件
43,2800-2849,10696円,29分,149.6%,76件
44,2850-2899,12139円,26分,162.8%,61件
45,2900-2949,13358円,23分,179.1%,60件
