,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,4140円,129分,104.3%,36件
1,950-999,2190円,121分,102.4%,43件
2,1000-1049,3879円,127分,104.1%,41件
3,1050-1099,3473円,114分,104.1%,53件
4,1100-1149,5583円,118分,106.3%,45件
5,1150-1199,3283円,121分,103.6%,64件
6,1200-1249,1354円,113分,101.6%,57件
7,1250-1299,3742円,109分,104.6%,65件
8,1300-1349,5374円,104分,106.9%,82件
9,1350-1399,4370円,108分,105.4%,84件
10,1400-1449,5353円,105分,106.8%,86件
11,1450-1499,5223円,104分,106.7%,86件
12,1500-1549,4174円,100分,105.6%,95件
13,1550-1599,3783円,100分,105%,109件
14,1600-1649,4750円,93分,106.8%,95件
15,1650-1699,4833円,91分,107%,85件
16,1700-1749,4694円,94分,106.7%,100件
17,1750-1799,6412円,83分,110.3%,93件
18,1800-1849,5536円,85分,108.7%,99件
19,1850-1899,7142円,77分,112.4%,105件
20,1900-1949,4425円,77分,107.6%,88件
21,1950-1999,7283円,69分,114.2%,84件
22,2000-2049,7582円,73分,113.9%,99件
23,2050-2099,6584円,64分,113.6%,72件
24,2100-2149,5575円,64分,111.6%,77件
25,2150-2199,6201円,58分,114.3%,68件
26,2200-2249,8564円,51分,122.3%,84件
27,2250-2299,6493円,50分,117.4%,48件
28,2300-2349,8155円,45分,124.1%,61件
29,2350-2399,8116円,41分,126.3%,51件
30,2400-2449,7977円,42分,125.1%,50件
31,2450-2499,7972円,39分,127%,57件
32,2500-2549,8964円,39分,130.7%,60件
33,2550-2599,8633円,40分,129%,61件
34,2600-2649,8658円,40分,128.8%,46件
35,2650-2699,8906円,37分,131.8%,49件
36,2700-2749,9800円,34分,138.5%,52件
37,2750-2799,10261円,31分,143.7%,47件
38,2800-2849,10880円,28分,151.5%,33件
39,2850-2899,11650円,24分,164.8%,50件
40,2900-2949,13334円,24分,173.5%,38件
