,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,3891円,129分,104%,1906件
1,1000-1049,4124円,127分,104.3%,1946件
2,1050-1099,4489円,125分,104.8%,1830件
3,1100-1149,4710円,123分,105.1%,1803件
4,1150-1199,4640円,122分,105.1%,1695件
5,1200-1249,4207円,120分,104.7%,1703件
6,1250-1299,4616円,116分,105.3%,1586件
7,1300-1349,4910円,112分,105.9%,1543件
8,1350-1399,5219円,111分,106.2%,1447件
9,1400-1449,4740円,108分,105.9%,1449件
10,1450-1499,5429円,104分,107%,1460件
11,1500-1549,5086円,103分,106.6%,1445件
12,1550-1599,5178円,99分,107%,1348件
13,1600-1649,5295円,97分,107.3%,1284件
14,1650-1699,5785円,95分,108.1%,1324件
15,1700-1749,5950円,90分,108.8%,1254件
16,1750-1799,6018円,89分,109.1%,1272件
17,1800-1849,6197円,86分,109.6%,1245件
18,1850-1899,6100円,84分,109.7%,1188件
19,1900-1949,6643円,80分,111.1%,1139件
20,1950-1999,6561円,75分,111.7%,1180件
21,2000-2049,6251円,71分,111.7%,1112件
22,2050-2099,6187円,67分,112.3%,1071件
23,2100-2149,6844円,64分,114.3%,1049件
24,2150-2199,6942円,61分,115.2%,1005件
25,2200-2249,6813円,57分,115.8%,977件
26,2250-2299,6947円,54分,117.2%,988件
27,2300-2349,7203円,50分,119.1%,967件
28,2350-2399,7295円,47分,120.5%,940件
29,2400-2449,7454円,46分,121.6%,877件
30,2450-2499,8171円,44分,124.9%,873件
31,2500-2549,8263円,43分,125.7%,852件
32,2550-2599,8643円,42分,127.7%,810件
33,2600-2649,9190円,39分,131.5%,847件
34,2650-2699,9750円,37分,134.7%,779件
35,2700-2749,9712円,37分,134.7%,655件
