,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,3221円,143分,103%,77件
1,750-799,4181円,136分,104.1%,87件
2,800-849,4167円,126分,104.4%,101件
3,850-899,2855円,130分,102.9%,147件
4,900-949,4113円,131分,104.2%,144件
5,950-999,3680円,127分,103.9%,160件
6,1000-1049,3528円,126分,103.7%,179件
7,1050-1099,3146円,127分,103.3%,190件
8,1100-1149,4775円,125分,105.1%,193件
9,1150-1199,5655円,118分,106.4%,213件
10,1200-1249,3892円,119分,104.4%,210件
11,1250-1299,3223円,115分,103.7%,252件
12,1300-1349,5449円,110分,106.6%,247件
13,1350-1399,5092円,115分,105.9%,238件
14,1400-1449,5377円,105分,106.8%,231件
15,1450-1499,5991円,99分,108%,238件
16,1500-1549,5625円,100分,107.5%,229件
17,1550-1599,5868円,100分,107.9%,234件
18,1600-1649,6135円,94分,108.7%,208件
19,1650-1699,4823円,91分,107.1%,186件
20,1700-1749,5632円,91分,108.2%,197件
21,1750-1799,5884円,84分,109.4%,183件
22,1800-1849,6264円,83分,110.1%,176件
23,1850-1899,6205円,81分,110.3%,189件
24,1900-1949,6896円,78分,111.9%,186件
25,1950-1999,6886円,72分,112.7%,150件
26,2000-2049,7578円,74分,113.6%,159件
27,2050-2099,6716円,67分,113.3%,144件
28,2100-2149,8759円,62分,118.7%,134件
29,2150-2199,6336円,61分,113.8%,122件
30,2200-2249,7741円,55分,118.9%,101件
31,2250-2299,6304円,52分,116.3%,122件
32,2300-2349,8324円,46分,124.2%,139件
33,2350-2399,8560円,41分,127.8%,110件
34,2400-2449,8486円,43分,126.2%,103件
35,2450-2499,8046円,45分,123.9%,91件
36,2500-2549,9675円,39分,132.8%,104件
37,2550-2599,8951円,41分,129.3%,98件
38,2600-2649,9696円,38分,134%,88件
39,2650-2699,9870円,37分,135.4%,85件
40,2700-2749,10372円,35分,139.4%,83件
41,2750-2799,10623円,31分,145.4%,79件
42,2800-2849,12382円,30分,155.8%,106件
43,2850-2899,13048円,25分,168.7%,84件
44,2900-2949,13158円,23分,176.5%,62件
