,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,2146円,142分,102%,928件
1,600-649,1528円,142分,101.4%,1228件
2,650-699,1915円,139分,101.8%,1115件
3,700-749,2398円,135分,102.4%,998件
4,750-799,2725円,133分,102.7%,886件
5,800-849,2502円,134分,102.5%,787件
6,850-899,2483円,131分,102.5%,768件
7,900-949,2904円,128分,103%,731件
8,950-999,2348円,130分,102.4%,639件
9,1000-1049,3508円,124分,103.8%,616件
10,1050-1099,3306円,121分,103.6%,531件
11,1100-1149,3674円,121分,104.1%,538件
12,1150-1199,3754円,116分,104.3%,980件
13,1200-1249,3822円,114分,104.5%,533件
14,1250-1299,4397円,110分,105.3%,572件
15,1300-1349,4319円,110分,105.2%,526件
16,1350-1399,4711円,106分,105.9%,448件
17,1400-1449,3891円,105分,104.9%,444件
18,1450-1499,4900円,101分,106.5%,445件
19,1500-1549,4532円,100分,106%,399件
20,1550-1599,5121円,96分,107.1%,368件
21,1600-1649,5685円,93分,108.1%,352件
22,1650-1699,5123円,91分,107.5%,376件
23,1700-1749,6143円,87分,109.4%,411件
24,1750-1799,6014円,83分,109.7%,373件
25,1800-1849,5293円,84分,108.4%,358件
26,1850-1899,6582円,79分,111.1%,327件
27,1900-1949,6852円,77分,111.9%,312件
28,1950-1999,6245円,74分,111.2%,285件
29,2000-2049,7888円,71分,114.9%,332件
30,2050-2099,7779円,68分,115.2%,292件
31,2100-2149,7367円,62分,115.8%,295件
32,2150-2199,7586円,57分,117.6%,256件
33,2200-2249,7666円,54分,119%,272件
34,2250-2299,8707円,47分,124.6%,274件
35,2300-2349,8147円,45分,124%,254件
36,2350-2399,8233円,42分,126%,279件
37,2400-2449,8486円,41分,127.5%,252件
38,2450-2499,8279円,41分,126.6%,239件
39,2500-2549,9467円,38分,133.2%,253件
40,2550-2599,9289円,37分,133.2%,215件
41,2600-2649,9727円,36分,136.5%,248件
42,2650-2699,10176円,34分,139.4%,211件
43,2700-2749,10457円,33分,142.4%,201件
44,2750-2799,11287円,31分,148.2%,192件
45,2800-2849,11710円,28分,155.9%,215件
46,2850-2899,11961円,25分,163.9%,170件
47,2900-2949,13438円,23分,178.4%,156件
