,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3351円,132分,103.4%,1616件
1,950-999,3988円,130分,104.1%,1472件
2,1000-1049,3977円,127分,104.2%,1455件
3,1050-1099,4045円,126分,104.3%,1274件
4,1100-1149,4039円,123分,104.4%,1241件
5,1150-1199,4123円,123分,104.5%,1110件
6,1200-1249,3882円,117分,104.4%,1065件
7,1250-1299,4476円,116分,105.1%,1073件
8,1300-1349,4639円,113分,105.5%,992件
9,1350-1399,4382円,112分,105.2%,938件
10,1400-1449,4994円,108分,106.2%,990件
11,1450-1499,5506円,104分,107.1%,995件
12,1500-1549,4899円,102分,106.4%,900件
13,1550-1599,5614円,100分,107.5%,760件
14,1600-1649,5265円,98分,107.2%,778件
15,1650-1699,5584円,95分,107.9%,786件
16,1700-1749,5054円,91分,107.4%,739件
17,1750-1799,5550円,88分,108.4%,768件
18,1800-1849,5799円,85分,109.1%,700件
19,1850-1899,6241円,81分,110.3%,680件
20,1900-1949,5871円,76分,110.3%,677件
21,1950-1999,5956円,75分,110.6%,619件
22,2000-2049,6030円,71分,111.4%,634件
23,2050-2099,5831円,70分,111.1%,594件
24,2100-2149,6518円,66分,113.3%,586件
25,2150-2199,7070円,61分,115.5%,573件
26,2200-2249,6764円,59分,115.2%,578件
27,2250-2299,6682円,55分,116.2%,501件
28,2300-2349,7162円,52分,118.3%,514件
29,2350-2399,6774円,49分,118.3%,463件
30,2400-2449,7312円,47分,120.9%,474件
31,2450-2499,7745円,45分,123%,460件
32,2500-2549,8151円,44分,124.8%,437件
33,2550-2599,8806円,42分,127.9%,469件
34,2600-2649,9720円,39分,133.4%,437件
35,2650-2699,9937円,37分,135.9%,471件
36,2700-2749,10891円,35分,141.2%,400件
37,2750-2799,11361円,33分,145.8%,381件
38,2800-2849,12383円,30分,155.4%,355件
39,2850-2899,13150円,27分,165.5%,327件
40,2900-2949,14295円,24分,180%,252件
