,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1400-1449,7344円,108分,109.1%,532件
1,1450-1499,6928円,106分,108.7%,461件
2,1500-1549,7662円,101分,110.1%,448件
3,1550-1599,7868円,100分,110.5%,423件
4,1600-1649,7511円,98分,110.2%,442件
5,1650-1699,8078円,94分,111.5%,479件
6,1700-1749,8086円,89分,112.1%,439件
7,1750-1799,7492円,89分,111.2%,429件
8,1800-1849,8611円,84分,113.6%,405件
9,1850-1899,8977円,81分,114.7%,383件
10,1900-1949,8312円,80分,113.8%,347件
11,1950-1999,9331円,76分,116.3%,396件
12,2000-2049,9709円,73分,117.6%,360件
13,2050-2099,8664円,68分,116.9%,348件
14,2100-2149,8895円,63分,118.7%,313件
15,2150-2199,9076円,59分,120.4%,321件
16,2200-2249,9689円,53分,124.2%,337件
17,2250-2299,9335円,52分,124%,307件
18,2300-2349,8939円,47分,125.3%,340件
19,2350-2399,9083円,46分,126.6%,299件
20,2400-2449,9057円,45分,126.8%,293件
21,2450-2499,10188円,42分,132.4%,311件
22,2500-2549,9819円,42分,131.4%,262件
23,2550-2599,10297円,40分,134.5%,290件
24,2600-2649,10711円,39分,136.9%,251件
25,2650-2699,11224円,36分,141.1%,240件
26,2700-2749,11741円,36分,144%,226件
27,2750-2799,12028円,33分,149%,250件
28,2800-2849,12626円,30分,156.7%,204件
29,2850-2899,14077円,27分,169.4%,219件
30,2900-2949,14517円,24分,182.1%,184件
