,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,7530円,100分,110.1%,726件
1,1550-1599,8469円,101分,111.2%,706件
2,1600-1649,7399円,96分,110.3%,715件
3,1650-1699,8149円,94分,111.5%,699件
4,1700-1749,7979円,90分,111.8%,712件
5,1750-1799,8425円,87分,112.9%,645件
6,1800-1849,8887円,84分,114%,602件
7,1850-1899,8933円,83分,114.4%,633件
8,1900-1949,9051円,81分,115%,594件
9,1950-1999,8750円,76分,115.3%,590件
10,2000-2049,8988円,74分,116.1%,603件
11,2050-2099,9441円,70分,117.9%,605件
12,2100-2149,9689円,66分,119.4%,529件
13,2150-2199,9396円,61分,120.6%,561件
14,2200-2249,8731円,55分,121.2%,523件
15,2250-2299,9132円,50分,124.6%,510件
16,2300-2349,9463円,47分,126.6%,493件
17,2350-2399,9224円,45分,127.2%,477件
18,2400-2449,9285円,43分,128.7%,475件
19,2450-2499,9537円,42分,130%,483件
20,2500-2549,10285円,40分,134.6%,447件
21,2550-2599,10537円,39分,136%,447件
22,2600-2649,10645円,39分,136.8%,436件
23,2650-2699,11101円,37分,139.7%,401件
24,2700-2749,12099円,34分,147.3%,418件
25,2750-2799,12299円,32分,151.1%,395件
26,2800-2849,12758円,29分,158.7%,382件
27,2850-2899,13686円,27分,167.5%,357件
28,2900-2949,13591円,28分,165.7%,319件
