,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,1608円,142分,101.5%,77件
1,750-799,2597円,134分,102.6%,87件
2,800-849,2707円,125分,102.9%,101件
3,850-899,1391円,129分,101.4%,147件
4,900-949,2595円,130分,102.7%,144件
5,950-999,2237円,125分,102.4%,160件
6,1000-1049,2095円,125分,102.2%,179件
7,1050-1099,1727円,125分,101.8%,190件
8,1100-1149,3294円,124分,103.5%,193件
9,1150-1199,4234円,117分,104.8%,213件
10,1200-1249,2525円,118分,102.9%,210件
11,1250-1299,1914円,114分,102.2%,252件
12,1300-1349,4132円,109分,105%,247件
13,1350-1399,3722円,113分,104.4%,238件
14,1400-1449,4116円,104分,105.3%,231件
15,1450-1499,4785円,98分,106.5%,238件
16,1500-1549,4416円,99分,105.9%,229件
17,1550-1599,4665円,99分,106.3%,234件
18,1600-1649,4977円,93分,107.1%,208件
19,1650-1699,3757円,90分,105.6%,186件
20,1700-1749,4533円,90分,106.7%,197件
21,1750-1799,4869円,83分,107.8%,183件
22,1800-1849,5235円,82分,108.5%,176件
23,1850-1899,5225円,80分,108.7%,189件
24,1900-1949,5921円,77分,110.3%,186件
25,1950-1999,5971円,71分,111.2%,150件
26,2000-2049,6607円,73分,112%,159件
27,2050-2099,5882円,66分,111.8%,144件
28,2100-2149,7912円,62分,117.1%,134件
29,2150-2199,5593円,60分,112.3%,122件
30,2200-2249,7022円,54分,117.3%,101件
31,2250-2299,5654円,51分,114.8%,122件
32,2300-2349,7695円,45分,122.7%,139件
33,2350-2399,7973円,41分,126.2%,110件
34,2400-2449,7899円,43分,124.7%,103件
35,2450-2499,7459円,44分,122.4%,91件
36,2500-2549,9088円,39分,131.3%,104件
37,2550-2599,8364円,40分,127.7%,98件
38,2600-2649,9109円,38分,132.4%,88件
39,2650-2699,9282円,37分,133.8%,85件
40,2700-2749,9784円,35分,137.7%,83件
41,2750-2799,10035円,31分,143.6%,79件
42,2800-2849,11794円,29分,154.1%,106件
43,2850-2899,12461円,25分,167%,84件
44,2900-2949,12571円,22分,174.8%,62件
