,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,4499円,142分,104.2%,66件
1,800-849,6463円,131分,106.6%,72件
2,850-899,5984円,122分,106.5%,88件
3,900-949,3957円,128分,104.1%,123件
4,950-999,5338円,129分,105.5%,123件
5,1000-1049,5198円,125分,105.5%,125件
6,1050-1099,4767円,125分,105.1%,149件
7,1100-1149,3989円,126分,104.2%,154件
8,1150-1199,6058円,123分,106.6%,164件
9,1200-1249,7034円,116分,108.1%,171件
10,1250-1299,4995円,116分,105.7%,176件
11,1300-1349,4691円,113分,105.6%,223件
12,1350-1399,6578円,108分,108.1%,200件
13,1400-1449,6655円,111分,108%,206件
14,1450-1499,6719円,102分,108.8%,197件
15,1500-1549,7258円,96分,110.1%,208件
16,1550-1599,7210円,97分,110%,188件
17,1600-1649,7232円,98分,109.8%,190件
18,1650-1699,6985円,91分,110.2%,166件
19,1700-1749,6299円,88分,109.5%,158件
20,1750-1799,6985円,89分,110.4%,166件
21,1800-1849,6872円,81分,111.3%,152件
22,1850-1899,7268円,80分,112%,146件
23,1900-1949,7346円,76分,112.8%,160件
24,1950-1999,7137円,75分,112.8%,144件
25,2000-2049,8104円,70分,115.5%,123件
26,2050-2099,8856円,70分,116.8%,137件
27,2100-2149,7764円,64分,116.1%,119件
28,2150-2199,9705円,57分,122.6%,102件
29,2200-2249,7210円,57分,116.8%,94件
30,2250-2299,7975円,51分,121%,80件
31,2300-2349,7154円,47分,120.2%,109件
32,2350-2399,9119円,42分,128.8%,119件
33,2400-2449,9398円,40分,131.7%,91件
34,2450-2499,9489円,42分,130.1%,85件
35,2500-2549,9309円,43分,129.2%,77件
36,2550-2599,10767円,38分,137.9%,86件
37,2600-2649,10067円,38分,135.6%,80件
38,2650-2699,11040円,36分,140.6%,72件
39,2700-2749,11064円,35分,142.6%,75件
40,2750-2799,11729円,32分,149.4%,71件
41,2800-2849,11790円,29分,154.8%,67件
42,2850-2899,13684円,27分,168.4%,86件
43,2900-2949,14329円,22分,187.3%,63件
