,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,1251円,142分,101.2%,77件
1,750-799,2247円,134分,102.2%,87件
2,800-849,2384円,125分,102.5%,101件
3,850-899,1068円,129分,101.1%,147件
4,900-949,2259円,130分,102.3%,144件
5,950-999,1918円,125分,102%,160件
6,1000-1049,1778円,124分,101.9%,179件
7,1050-1099,1413円,125分,101.5%,190件
8,1100-1149,2966円,124分,103.2%,193件
9,1150-1199,3920円,117分,104.5%,213件
10,1200-1249,2223円,117分,102.5%,210件
11,1250-1299,1624円,114分,101.9%,252件
12,1300-1349,3841円,109分,104.7%,247件
13,1350-1399,3419円,113分,104%,238件
14,1400-1449,3837円,104分,104.9%,231件
15,1450-1499,4518円,98分,106.2%,238件
16,1500-1549,4148円,99分,105.6%,229件
17,1550-1599,4399円,98分,106%,234件
18,1600-1649,4721円,93分,106.8%,208件
19,1650-1699,3521円,90分,105.2%,186件
20,1700-1749,4290円,90分,106.3%,197件
21,1750-1799,4644円,83分,107.5%,183件
22,1800-1849,5007円,82分,108.1%,176件
23,1850-1899,5009円,79分,108.4%,189件
24,1900-1949,5706円,76分,109.9%,186件
25,1950-1999,5769円,71分,110.8%,150件
26,2000-2049,6392円,73分,111.7%,159件
27,2050-2099,5698円,66分,111.5%,144件
28,2100-2149,7725円,62分,116.7%,134件
29,2150-2199,5429円,60分,112%,122件
30,2200-2249,6863円,54分,117%,101件
31,2250-2299,5510円,51分,114.4%,122件
32,2300-2349,7556円,45分,122.3%,139件
33,2350-2399,7843円,40分,125.9%,110件
34,2400-2449,7769円,43分,124.4%,103件
35,2450-2499,7329円,44分,122.1%,91件
36,2500-2549,8958円,39分,130.9%,104件
37,2550-2599,8234円,40分,127.4%,98件
38,2600-2649,8979円,37分,132%,88件
39,2650-2699,9152円,37分,133.4%,85件
40,2700-2749,9654円,34分,137.3%,83件
41,2750-2799,9906円,31分,143.2%,79件
42,2800-2849,11664円,29分,153.8%,106件
43,2850-2899,12331円,25分,166.6%,84件
44,2900-2949,12441円,22分,174.4%,62件
