,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1600-1649,11783円,100分,115.8%,18件
1,1650-1699,9845円,100分,113.2%,22件
2,1700-1749,11210円,85分,117.6%,26件
3,1750-1799,11794円,95分,116.6%,18件
4,1800-1849,10940円,92分,115.9%,24件
5,1850-1899,12334円,77分,121.4%,22件
6,1900-1949,11274円,73分,120.5%,23件
7,1950-1999,7699円,66分,115.5%,19件
8,2000-2049,11151円,71分,120.9%,20件
9,2050-2099,11959円,69分,123.1%,32件
10,2100-2149,12873円,60分,128.7%,26件
11,2150-2199,10051円,59分,122.8%,29件
12,2200-2249,10241円,53分,125.9%,26件
13,2250-2299,11200円,48分,131.2%,16件
14,2300-2349,11010円,43分,134.4%,25件
15,2350-2399,10443円,36分,139%,28件
16,2400-2449,10344円,40分,134.3%,22件
17,2450-2499,8644円,43分,126.7%,31件
18,2500-2549,8263円,45分,124.8%,20件
19,2550-2599,10163円,39分,134.9%,30件
20,2600-2649,8734円,41分,128.5%,32件
21,2650-2699,11072円,33分,144.2%,31件
22,2700-2749,11609円,31分,149.2%,21件
23,2750-2799,12103円,31分,152.2%,20件
24,2800-2849,12728円,30分,156.5%,18件
25,2850-2899,13588円,25分,171.6%,14件
26,2900-2949,13696円,23分,180.2%,17件
