,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,8349円,125分,108.9%,20件
1,1250-1299,7013円,103分,109.1%,28件
2,1300-1349,10979円,108分,113.5%,28件
3,1350-1399,8301円,103分,110.7%,28件
4,1400-1449,7356円,98分,110.1%,23件
5,1450-1499,9273円,95分,113%,35件
6,1500-1549,8427円,96分,111.7%,34件
7,1550-1599,10593円,90分,115.8%,39件
8,1600-1649,10672円,92分,115.4%,47件
9,1650-1699,8249円,92分,112%,41件
10,1700-1749,9049円,88分,113.8%,50件
11,1750-1799,8507円,87分,113.1%,50件
12,1800-1849,10066円,82分,116.4%,54件
13,1850-1899,10835円,74分,119.7%,47件
14,1900-1949,8508円,80分,114.1%,46件
15,1950-1999,10260円,72分,119.1%,44件
16,2000-2049,8663円,73分,115.9%,48件
17,2050-2099,9318円,66分,118.9%,44件
18,2100-2149,8634円,63分,118.2%,42件
19,2150-2199,10801円,58分,124.8%,35件
20,2200-2249,11469円,58分,126.4%,50件
21,2250-2299,9342円,50分,125%,27件
22,2300-2349,9704円,47分,127.4%,44件
23,2350-2399,11594円,40分,138.4%,40件
24,2400-2449,12880円,32分,153.2%,36件
25,2450-2499,8700円,41分,128%,24件
26,2500-2549,12503円,31分,153%,31件
27,2550-2599,11817円,29分,154.5%,24件
28,2600-2649,11987円,33分,148.9%,26件
29,2650-2699,11994円,32分,150.4%,22件
30,2700-2749,13080円,30分,158.3%,33件
31,2750-2799,13674円,26分,170.4%,29件
32,2800-2849,13446円,29分,162.8%,24件
33,2850-2899,14108円,24分,178.8%,23件
34,2900-2949,14393円,22分,185.8%,25件
