,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,3063円,142分,102.9%,1434件
1,650-699,3320円,141分,103.1%,1276件
2,700-749,3059円,141分,102.9%,1121件
3,750-799,2913円,139分,102.8%,1073件
4,800-849,3503円,134分,103.5%,1036件
5,850-899,3038円,137分,103%,926件
6,900-949,4032円,131分,104.1%,880件
7,950-999,4104円,128分,104.3%,791件
8,1000-1049,4489円,127分,104.7%,766件
9,1050-1099,3933円,124分,104.2%,1400件
10,1100-1149,3720円,123分,104%,799件
11,1150-1199,4553円,118分,105.2%,820件
12,1200-1249,4313円,117分,104.9%,727件
13,1250-1299,4777円,114分,105.6%,654件
14,1300-1349,4436円,112分,105.3%,617件
15,1350-1399,4882円,110分,105.9%,636件
16,1400-1449,4623円,108分,105.7%,560件
17,1450-1499,5168円,104分,106.6%,550件
18,1500-1549,5708円,101分,107.5%,508件
19,1550-1599,5268円,99分,107.1%,521件
20,1600-1649,5854円,96分,108.2%,577件
21,1650-1699,5495円,92分,108%,504件
22,1700-1749,5531円,91分,108.1%,519件
23,1750-1799,6422円,86分,109.9%,492件
24,1800-1849,6850円,83分,110.9%,453件
25,1850-1899,6324円,83分,110.2%,417件
26,1900-1949,7109円,78分,112.2%,468件
27,1950-1999,7633円,76分,113.4%,430件
28,2000-2049,6585円,70分,112.5%,415件
29,2050-2099,6873円,67分,113.7%,379件
30,2100-2149,7190円,62分,115.4%,390件
31,2150-2199,7886円,58分,118.3%,405件
32,2200-2249,7916円,55分,119.2%,384件
33,2250-2299,7173円,51分,118.8%,402件
34,2300-2349,7328円,49分,120%,352件
35,2350-2399,7673円,47分,121.7%,349件
36,2400-2449,8444円,44分,125.6%,372件
37,2450-2499,8103円,43分,125.1%,314件
38,2500-2549,8670円,41分,128.1%,353件
39,2550-2599,9141円,41分,130%,324件
40,2600-2649,9532円,39分,132.9%,303件
41,2650-2699,10048円,38分,135.7%,270件
42,2700-2749,10026円,35分,138.2%,300件
43,2750-2799,10889円,32分,145%,250件
44,2800-2849,12116円,30分,154.7%,259件
45,2850-2899,12805円,26分,166.7%,244件
46,2900-2949,13743円,24分,177%,206件
