,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,601円,144分,100.6%,1138件
1,550-599,-59円,144分,99.9%,1439件
2,600-649,472円,140分,100.4%,1349件
3,650-699,1004円,137分,101%,1216件
4,700-749,1151円,135分,101.1%,1054件
5,750-799,868円,137分,100.8%,937件
6,800-849,909円,134分,100.9%,918件
7,850-899,1462円,130分,101.5%,865件
8,900-949,986円,131分,101%,775件
9,950-999,1948円,127分,102.1%,733件
10,1000-1049,2066円,123分,102.2%,644件
11,1050-1099,2560円,121分,102.8%,649件
12,1100-1149,2255円,118分,102.5%,1166件
13,1150-1199,2204円,116分,102.5%,645件
14,1200-1249,2812円,113分,103.3%,687件
15,1250-1299,2943円,111分,103.5%,625件
16,1300-1349,3069円,109分,103.8%,542件
17,1350-1399,2418円,108分,103%,516件
18,1400-1449,3421円,104分,104.4%,532件
19,1450-1499,3089円,103分,104%,461件
20,1500-1549,3956円,98分,105.4%,448件
21,1550-1599,4204円,96分,105.8%,423件
22,1600-1649,3928円,95分,105.5%,442件
23,1650-1699,4594円,91分,106.8%,479件
24,1700-1749,4710円,86分,107.3%,439件
25,1750-1799,4214円,86分,106.5%,429件
26,1800-1849,5353円,82分,108.8%,405件
27,1850-1899,5803円,79分,109.8%,383件
28,1900-1949,5275円,77分,109.1%,347件
29,1950-1999,6306円,73分,111.4%,396件
30,2000-2049,6739円,71分,112.7%,360件
31,2050-2099,5971円,66分,112.1%,348件
32,2100-2149,6360円,61分,113.9%,313件
33,2150-2199,6723円,57分,115.7%,321件
34,2200-2249,7480円,52分,119.4%,337件
35,2250-2299,7204円,50分,119.3%,307件
36,2300-2349,7000円,45分,120.6%,340件
37,2350-2399,7206円,44分,121.9%,299件
38,2400-2449,7206円,43分,122.1%,293件
39,2450-2499,8336円,40分,127.6%,311件
40,2500-2549,7992円,40分,126.6%,262件
41,2550-2599,8470円,38分,129.6%,290件
42,2600-2649,8884円,37分,132%,251件
43,2650-2699,9398円,35分,136%,240件
44,2700-2749,9914円,34分,139%,226件
45,2750-2799,10202円,31分,143.7%,250件
46,2800-2849,10800円,28分,151.3%,204件
47,2850-2899,12250円,25分,164.3%,219件
48,2900-2949,12690円,22分,177%,184件
