,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,4053円,132分,104.1%,193件
1,1000-1049,5128円,126分,105.4%,260件
2,1050-1099,4588円,125分,104.9%,229件
3,1100-1149,4750円,124分,105.1%,283件
4,1150-1199,4814円,124分,105.2%,267件
5,1200-1249,4827円,118分,105.5%,305件
6,1250-1299,3887円,117分,104.4%,323件
7,1300-1349,4713円,115分,105.4%,312件
8,1350-1399,5049円,111分,106.1%,265件
9,1400-1449,4462円,113分,105.3%,278件
10,1450-1499,5066円,104分,106.5%,293件
11,1500-1549,4615円,105分,105.9%,286件
12,1550-1599,5825円,98分,107.9%,285件
13,1600-1649,4784円,95分,106.7%,275件
14,1650-1699,6666円,92分,109.7%,276件
15,1700-1749,6828円,91分,110%,296件
16,1750-1799,6031円,87分,109.3%,246件
17,1800-1849,6053円,84分,109.6%,252件
18,1850-1899,6400円,80分,110.7%,230件
19,1900-1949,6439円,76分,111.4%,230件
20,1950-1999,7476円,74分,113.6%,208件
21,2000-2049,7019円,71分,113.1%,201件
22,2050-2099,7017円,65分,114.3%,187件
23,2100-2149,7206円,65分,114.8%,185件
24,2150-2199,7600円,60分,116.8%,185件
25,2200-2249,6534円,59分,114.7%,175件
26,2250-2299,4930円,60分,111%,160件
27,2300-2349,7175円,50分,119.1%,155件
28,2350-2399,7081円,49分,119.4%,152件
29,2400-2449,7492円,46分,121.8%,152件
30,2450-2499,7883円,45分,123.2%,153件
31,2500-2549,8082円,43分,124.9%,127件
32,2550-2599,8319円,41分,127%,147件
33,2600-2649,8781円,41分,128.4%,121件
34,2650-2699,10116円,36分,137.1%,127件
35,2700-2749,10929円,35分,141.6%,100件
36,2750-2799,11430円,33分,146.5%,119件
37,2800-2849,11989円,32分,149.8%,104件
38,2850-2899,13417円,27分,166.9%,100件
39,2900-2949,14847円,23分,184.9%,91件
