,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,2543円,113分,103%,22件
1,1150-1199,6521円,121分,107.2%,24件
2,1200-1249,5820円,108分,107.2%,33件
3,1250-1299,9033円,109分,111.1%,30件
4,1300-1349,5663円,108分,107%,33件
5,1350-1399,5187円,100分,106.9%,31件
6,1400-1449,7063円,98分,109.6%,41件
7,1450-1499,6981円,94分,109.9%,42件
8,1500-1549,7723円,95分,110.8%,47件
9,1550-1599,8205円,97分,111.2%,55件
10,1600-1649,6062円,96分,108.4%,49件
11,1650-1699,7426円,88分,111.2%,63件
12,1700-1749,6388円,92分,109.3%,60件
13,1750-1799,8349円,83分,113.4%,66件
14,1800-1849,8884円,77分,115.3%,57件
15,1850-1899,6946円,85分,110.9%,55件
16,1900-1949,9152円,74分,116.4%,52件
17,1950-1999,7387円,77分,112.8%,58件
18,2000-2049,8440円,70分,116%,58件
19,2050-2099,7347円,66分,114.8%,51件
20,2100-2149,9613円,59分,121.8%,42件
21,2150-2199,9998円,61分,121.8%,58件
22,2200-2249,7526円,53分,118.9%,36件
23,2250-2299,7162円,52分,118.3%,47件
24,2300-2349,9733円,45分,129%,48件
25,2350-2399,10472円,38分,137%,41件
26,2400-2449,7636円,44分,123.3%,31件
27,2450-2499,10783円,35分,140.8%,33件
28,2500-2549,10427円,32分,143.4%,28件
29,2550-2599,11097円,34分,143.5%,31件
30,2600-2649,10819円,34分,142.1%,28件
31,2650-2699,11666円,32分,148%,38件
32,2700-2749,11783円,29分,153.4%,32件
33,2750-2799,11786円,31分,150.5%,28件
34,2800-2849,12200円,28分,158.7%,26件
35,2850-2899,12792円,25分,167.6%,31件
36,2900-2949,13202円,21分,183.1%,28件
