,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,6802円,115分,107.9%,108件
1,1350-1399,6565円,109分,108.1%,101件
2,1400-1449,6109円,105分,107.7%,110件
3,1450-1499,5039円,106分,106.4%,131件
4,1500-1549,5817円,103分,107.6%,113件
5,1550-1599,6055円,98分,108.2%,144件
6,1600-1649,6573円,95分,109.2%,130件
7,1650-1699,7020円,95分,109.9%,138件
8,1700-1749,7631円,95分,110.7%,127件
9,1750-1799,6901円,88分,110.5%,113件
10,1800-1849,6374円,84分,110.1%,144件
11,1850-1899,6639円,79分,111.2%,139件
12,1900-1949,5928円,79分,110%,125件
13,1950-1999,8162円,75分,114.6%,126件
14,2000-2049,6766円,71分,112.8%,93件
15,2050-2099,5130円,70分,109.7%,98件
16,2100-2149,7232円,69分,113.9%,90件
17,2150-2199,8042円,64分,116.8%,91件
18,2200-2249,7734円,56分,118.4%,106件
19,2250-2299,8269円,53分,120.8%,87件
20,2300-2349,8308円,48分,122.9%,83件
21,2350-2399,7471円,48分,120.8%,86件
22,2400-2449,8407円,45分,124.7%,81件
23,2450-2499,7848円,44分,123.6%,64件
24,2500-2549,8327円,45分,124.9%,80件
25,2550-2599,8739円,44分,126.6%,76件
26,2600-2649,9475円,40分,131.7%,66件
27,2650-2699,10741円,38分,137.5%,60件
28,2700-2749,10604円,36分,139.5%,51件
29,2750-2799,11962円,32分,150.2%,54件
30,2800-2849,12665円,31分,154.4%,74件
31,2850-2899,13228円,27分,164.3%,63件
32,2900-2949,14878円,24分,183.1%,47件
