,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-1947円,157分,98.4%,251件
1,300-349,-2135円,155分,98.2%,355件
2,350-399,-2090円,155分,98.2%,415件
3,400-449,-1399円,144分,98.7%,531件
4,450-499,-2507円,148分,97.7%,595件
5,500-549,-1101円,146分,99%,666件
6,550-599,-1376円,145分,98.7%,692件
7,600-649,-898円,142分,99.2%,792件
8,650-699,-1323円,141分,98.8%,805件
9,700-749,-640円,138分,99.4%,841件
10,750-799,-280円,135分,99.7%,950件
11,800-849,-873円,136分,99.1%,949件
12,850-899,-788円,135分,99.2%,1041件
13,900-949,-149円,128分,99.8%,1069件
14,950-999,-147円,131分,99.8%,1070件
15,1000-1049,-28円,126分,100%,1050件
16,1050-1099,218円,123分,100.2%,981件
17,1100-1149,523円,123分,100.6%,946件
18,1150-1199,548円,118分,100.6%,973件
19,1200-1249,1060円,114分,101.2%,904件
20,1250-1299,866円,112分,101%,864件
21,1300-1349,788円,112分,100.9%,872件
22,1350-1399,1080円,109分,101.3%,846件
23,1400-1449,1701円,104分,102.2%,798件
24,1450-1499,1781円,102分,102.3%,841件
25,1500-1549,1913円,101分,102.5%,773件
26,1550-1599,1883円,96分,102.6%,719件
27,1600-1649,2343円,95分,103.3%,658件
28,1650-1699,2748円,92分,104%,651件
29,1700-1749,3533円,87分,105.4%,592件
30,1750-1799,2817円,85分,104.4%,549件
31,1800-1849,3773円,83分,106.1%,529件
32,1850-1899,3390円,79分,105.7%,533件
33,1900-1949,3507円,76分,106.1%,532件
34,1950-1999,3754円,72分,107%,511件
35,2000-2049,4086円,69分,107.9%,498件
36,2050-2099,3829円,67分,107.7%,468件
37,2100-2149,4879円,62分,110.4%,446件
38,2150-2199,4073円,62分,108.7%,442件
39,2200-2249,5205円,57分,112.1%,399件
40,2250-2299,4229円,54分,110.4%,404件
41,2300-2349,5062円,50分,113.4%,387件
42,2350-2399,5754円,46分,116.7%,395件
43,2400-2449,5606円,46分,116.2%,451件
44,2450-2499,5881円,44分,117.7%,360件
45,2500-2549,7003円,42分,122.4%,333件
46,2550-2599,7320円,41分,123.6%,335件
47,2600-2649,8292円,38分,129.1%,338件
48,2650-2699,8611円,36分,131.7%,309件
49,2700-2749,9351円,33分,137.7%,298件
50,2750-2799,10378円,32分,143.1%,284件
51,2800-2849,11110円,28分,152%,290件
52,2850-2899,12296円,25分,164.5%,255件
53,2900-2949,12839円,23分,173.5%,187件
