,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,978円,144分,100.9%,299件
1,500-549,73円,147分,100.1%,501件
2,550-599,-173円,145分,99.8%,594件
3,600-649,985円,138分,101%,637件
4,650-699,718円,139分,100.7%,635件
5,700-749,702円,135分,100.7%,665件
6,750-799,897円,137分,100.9%,658件
7,800-849,725円,135分,100.7%,690件
8,850-899,1274円,131分,101.3%,688件
9,900-949,920円,130分,100.9%,650件
10,950-999,2066円,126分,102.2%,623件
11,1000-1049,1004円,129分,101%,742件
12,1050-1099,1710円,120分,101.9%,745件
13,1100-1149,1603円,120分,101.8%,797件
14,1150-1199,2240円,118分,102.5%,673件
15,1200-1249,2235円,112分,102.7%,686件
16,1250-1299,2520円,115分,102.9%,632件
17,1300-1349,2638円,111分,103.2%,588件
18,1350-1399,2890円,110分,103.5%,515件
19,1400-1449,2263円,104分,102.9%,475件
20,1450-1499,3066円,101分,104%,498件
21,1500-1549,3529円,100分,104.7%,428件
22,1550-1599,3034円,99分,104.1%,425件
23,1600-1649,3810円,94分,105.4%,466件
24,1650-1699,4012円,90分,105.9%,455件
25,1700-1749,3931円,88分,105.9%,444件
26,1750-1799,4433円,86分,106.9%,353件
27,1800-1849,4514円,82分,107.3%,377件
28,1850-1899,4752円,80分,107.9%,346件
29,1900-1949,4930円,76分,108.6%,359件
30,1950-1999,4460円,73分,108.1%,344件
31,2000-2049,5352円,69分,110.3%,317件
32,2050-2099,5420円,66分,111%,316件
33,2100-2149,5354円,61分,111.8%,318件
34,2150-2199,5431円,58分,112.4%,295件
35,2200-2249,5904円,54分,114.7%,296件
36,2250-2299,6241円,52分,115.9%,278件
37,2300-2349,5631円,49分,115.4%,263件
38,2350-2399,6503円,45分,119.3%,254件
39,2400-2449,6945円,44分,120.9%,251件
40,2450-2499,7505円,44分,123%,229件
41,2500-2549,7602円,42分,124%,228件
42,2550-2599,7837円,40分,126%,232件
43,2600-2649,8465円,38分,129.4%,225件
44,2650-2699,8803円,36分,132.4%,208件
45,2700-2749,9621円,34分,137.5%,190件
46,2750-2799,10286円,31分,143.6%,219件
47,2800-2849,11329円,28分,153.4%,203件
48,2850-2899,11870円,25分,163.5%,213件
49,2900-2949,13007円,22分,177.4%,164件
