,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,13399円,110分,116.2%,28件
1,1350-1399,10469円,105分,113.3%,28件
2,1400-1449,9332円,99分,112.5%,23件
3,1450-1499,11317円,97分,115.6%,35件
4,1500-1549,10443円,97分,114.3%,34件
5,1550-1599,12606円,91分,118.4%,39件
6,1600-1649,12754円,94分,118.1%,47件
7,1650-1699,10155円,94分,114.4%,41件
8,1700-1749,10938円,89分,116.3%,50件
9,1750-1799,10378円,88分,115.7%,50件
10,1800-1849,11881円,84分,118.9%,54件
11,1850-1899,12504円,75分,122.2%,47件
12,1900-1949,10219円,82分,116.6%,46件
13,1950-1999,11920円,73分,121.8%,44件
14,2000-2049,10198円,74分,118.4%,48件
15,2050-2099,10826円,67分,121.6%,44件
16,2100-2149,9971円,65分,120.6%,42件
17,2150-2199,12233円,59分,127.4%,35件
18,2200-2249,12880円,59分,129.1%,50件
19,2250-2299,10538円,51分,127.6%,27件
20,2300-2349,10826円,48分,129.9%,44件
21,2350-2399,12615円,41分,140.8%,40件
22,2400-2449,13829円,33分,155.7%,36件
23,2450-2499,9649円,42分,130.4%,24件
24,2500-2549,13452円,32分,155.5%,31件
25,2550-2599,12766円,30分,157.2%,24件
26,2600-2649,12936円,34分,151.4%,26件
27,2650-2699,12943円,33分,152.9%,22件
28,2700-2749,14029円,31分,160.8%,33件
29,2750-2799,14623円,27分,172.9%,29件
30,2800-2849,14395円,29分,165.3%,24件
31,2850-2899,15057円,25分,181.3%,23件
32,2900-2949,15342円,23分,188.2%,25件
