,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3485円,133分,103.5%,47件
1,950-999,4572円,137分,104.4%,52件
2,1000-1049,5269円,133分,105.3%,67件
3,1050-1099,4431円,122分,104.8%,70件
4,1100-1149,4290円,124分,104.6%,82件
5,1150-1199,5588円,124分,106%,96件
6,1200-1249,4500円,120分,105%,102件
7,1250-1299,6018円,110分,107.3%,101件
8,1300-1349,5902円,114分,106.9%,108件
9,1350-1399,5723円,108分,107.1%,101件
10,1400-1449,5295円,105分,106.8%,110件
11,1450-1499,4253円,105分,105.4%,131件
12,1500-1549,5029円,102分,106.6%,113件
13,1550-1599,5313円,98分,107.3%,144件
14,1600-1649,5825円,95分,108.2%,130件
15,1650-1699,6272円,94分,108.9%,138件
16,1700-1749,6858円,94分,109.7%,127件
17,1750-1799,6212円,87分,109.5%,113件
18,1800-1849,5717円,83分,109.1%,144件
19,1850-1899,6015円,79分,110.2%,139件
20,1900-1949,5323円,79分,109%,125件
21,1950-1999,7542円,74分,113.6%,126件
22,2000-2049,6208円,70分,111.8%,93件
23,2050-2099,4618円,70分,108.8%,98件
24,2100-2149,6664円,69分,112.9%,90件
25,2150-2199,7501円,63分,115.8%,91件
26,2200-2249,7254円,56分,117.4%,106件
27,2250-2299,7813円,53分,119.8%,87件
28,2300-2349,7888円,48分,121.9%,83件
29,2350-2399,7066円,47分,119.8%,86件
30,2400-2449,8011円,45分,123.7%,81件
31,2450-2499,7452円,44分,122.6%,64件
32,2500-2549,7931円,44分,123.9%,80件
33,2550-2599,8343円,43分,125.6%,76件
34,2600-2649,9079円,39分,130.7%,66件
35,2650-2699,10345円,38分,136.5%,60件
36,2700-2749,10208円,35分,138.4%,51件
37,2750-2799,11566円,31分,149.1%,54件
38,2800-2849,12269円,31分,153.3%,74件
39,2850-2899,12832円,27分,163.2%,63件
40,2900-2949,14482円,24分,182.1%,47件
