,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,5201円,137分,105.1%,85件
1,800-849,5185円,132分,105.2%,174件
2,850-899,6315円,126分,106.7%,212件
3,900-949,6985円,118分,107.9%,215件
4,950-999,6411円,123分,106.9%,217件
5,1000-1049,6455円,118分,107.3%,225件
6,1050-1099,5874円,121分,106.4%,237件
7,1100-1149,6991円,123分,107.6%,232件
8,1150-1199,7098円,112分,108.5%,227件
9,1200-1249,7423円,113分,108.8%,229件
10,1250-1299,7511円,108分,109.3%,209件
11,1300-1349,7106円,110分,108.6%,242件
12,1350-1399,7591円,102分,110%,247件
13,1400-1449,8070円,104分,110.3%,289件
14,1450-1499,7804円,103分,110.1%,220件
15,1500-1549,7209円,96分,110.1%,239件
16,1550-1599,8606円,96分,112%,176件
17,1600-1649,8593円,91分,112.6%,192件
18,1650-1699,9402円,90分,113.9%,158件
19,1700-1749,8024円,84分,112.7%,156件
20,1750-1799,9521円,85分,115%,165件
21,1800-1849,9276円,82分,115%,134件
22,1850-1899,8703円,78分,114.8%,147件
23,1900-1949,10520円,72分,119.5%,162件
24,1950-1999,9258円,72分,117.1%,170件
25,2000-2049,9342円,69分,117.9%,152件
26,2050-2099,10598円,67分,121.1%,124件
27,2100-2149,9698円,63分,120.7%,132件
28,2150-2199,11114円,60分,124.8%,115件
29,2200-2249,10910円,57分,125.4%,130件
30,2250-2299,10291円,52分,126.5%,115件
31,2300-2349,10615円,46分,130.9%,118件
32,2350-2399,10624円,39分,136.7%,118件
33,2400-2449,10320円,37分,137.6%,119件
34,2450-2499,11054円,35分,141.7%,89件
35,2500-2549,12150円,33分,148.9%,97件
36,2550-2599,12278円,32分,150.6%,90件
37,2600-2649,11296円,33分,145.2%,85件
38,2650-2699,12458円,30分,154.9%,74件
39,2700-2749,13731円,29分,162.7%,87件
40,2750-2799,13783円,29分,164.2%,78件
41,2800-2849,13650円,28分,165.5%,80件
42,2850-2899,14254円,23分,182.2%,70件
43,2900-2949,14458円,23分,185.4%,75件
