,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,336円,136分,100.3%,39件
1,800-849,2207円,132分,102.2%,51件
2,850-899,1529円,125分,101.6%,71件
3,900-949,2345円,130分,102.4%,60件
4,950-999,1408円,120分,101.6%,72件
5,1000-1049,2796円,126分,103%,78件
6,1050-1099,1434円,122分,101.6%,98件
7,1100-1149,1171円,117分,101.3%,82件
8,1150-1199,2443円,116分,102.8%,100件
9,1200-1249,3660円,109分,104.5%,123件
10,1250-1299,2012円,115分,102.3%,107件
11,1300-1349,2419円,114分,102.8%,123件
12,1350-1399,2746円,111分,103.3%,122件
13,1400-1449,2409円,103分,103.1%,130件
14,1450-1499,2173円,106分,102.7%,158件
15,1500-1549,3522円,98分,104.8%,137件
16,1550-1599,3093円,99分,104.2%,122件
17,1600-1649,2930円,98分,104%,134件
18,1650-1699,4212円,89分,106.3%,133件
19,1700-1749,3714円,91分,105.4%,146件
20,1750-1799,5593円,83分,109%,150件
21,1800-1849,2553円,83分,104.1%,132件
22,1850-1899,5751円,75分,110.2%,123件
23,1900-1949,5206円,77分,109%,128件
24,1950-1999,4452円,71分,108.3%,100件
25,2000-2049,4791円,69分,109.3%,114件
26,2050-2099,5046円,64分,110.4%,100件
27,2100-2149,6689円,59分,115.1%,121件
28,2150-2199,5127円,57分,112%,73件
29,2200-2249,7063円,53分,117.8%,93件
30,2250-2299,6550円,47分,118.8%,79件
31,2300-2349,7136円,48分,119.8%,83件
32,2350-2399,6529円,45分,119.5%,84件
33,2400-2449,7281円,43分,122.5%,87件
34,2450-2499,6472円,45分,119%,81件
35,2500-2549,7244円,42分,122.8%,68件
36,2550-2599,7549円,40分,125%,69件
37,2600-2649,7950円,39分,127.4%,74件
38,2650-2699,8715円,36分,132.5%,73件
39,2700-2749,9286円,32分,138.2%,51件
40,2750-2799,9468円,31分,141.4%,73件
41,2800-2849,10960円,29分,149.6%,63件
42,2850-2899,12375円,25分,167.2%,58件
43,2900-2949,12561円,22分,175.6%,41件
