,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,-371円,144分,99.7%,93件
1,600-649,1228円,138分,101.2%,156件
2,650-699,800円,139分,100.8%,288件
3,700-749,735円,138分,100.7%,366件
4,750-799,2430円,129分,102.5%,384件
5,800-849,1545円,129分,101.6%,363件
6,850-899,1778円,129分,101.8%,402件
7,900-949,1847円,128分,101.9%,380件
8,950-999,1648円,128分,101.7%,398件
9,1000-1049,2820円,120分,103.1%,414件
10,1050-1099,2084円,121分,102.3%,374件
11,1100-1149,3166円,116分,103.6%,365件
12,1150-1199,2399円,119分,102.7%,444件
13,1200-1249,2880円,112分,103.4%,429件
14,1250-1299,3114円,111分,103.8%,466件
15,1300-1349,3610円,109分,104.4%,363件
16,1350-1399,3035円,104分,103.9%,391件
17,1400-1449,3752円,106分,104.7%,327件
18,1450-1499,3594円,100分,104.8%,329件
19,1500-1549,3782円,100分,105.1%,288件
20,1550-1599,3575円,93分,105.1%,280件
21,1600-1649,4937円,92分,107.2%,285件
22,1650-1699,4569円,89分,106.8%,230件
23,1700-1749,4664円,88分,107.1%,256件
24,1750-1799,5686円,83分,109.1%,278件
25,1800-1849,4970円,81分,108.2%,272件
26,1850-1899,4933円,81分,108.2%,261件
27,1900-1949,5434円,77分,109.4%,199件
28,1950-1999,5520円,72分,110.2%,214件
29,2000-2049,6419円,68分,112.5%,202件
30,2050-2099,6983円,66分,114.1%,207件
31,2100-2149,6024円,63分,112.8%,203件
32,2150-2199,6744円,59分,115.3%,196件
33,2200-2249,6946円,52分,117.7%,191件
34,2250-2299,7011円,48分,119.4%,201件
35,2300-2349,7069円,44分,121.3%,179件
36,2350-2399,8173円,41分,126.5%,176件
37,2400-2449,8106円,40分,126.7%,158件
38,2450-2499,7607円,40分,125.2%,154件
39,2500-2549,9128円,37分,132.9%,142件
40,2550-2599,9042円,39分,131.3%,144件
41,2600-2649,9852円,36分,136.1%,138件
42,2650-2699,9977円,36分,137.1%,136件
43,2700-2749,10127円,32分,141.7%,132件
44,2750-2799,10539円,31分,145.4%,134件
45,2800-2849,11423円,29分,152.5%,112件
46,2850-2899,12232円,25分,164.2%,100件
47,2900-2949,13124円,23分,176.8%,122件
