,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,4710円,105分,106%,14件
1,1250-1299,5622円,112分,106.7%,19件
2,1300-1349,7388円,98分,110%,25件
3,1350-1399,5989円,103分,107.7%,31件
4,1400-1449,7521円,95分,110.5%,16件
5,1450-1499,5408円,103分,107%,16件
6,1500-1549,7209円,95分,110.1%,26件
7,1550-1599,5029円,99分,106.8%,29件
8,1600-1649,7351円,89分,111%,42件
9,1650-1699,7775円,91分,111.4%,32件
10,1700-1749,7010円,91分,110.3%,36件
11,1750-1799,8005円,78分,113.7%,30件
12,1800-1849,7912円,80分,113.2%,36件
13,1850-1899,5183円,70分,109.8%,26件
14,1900-1949,8030円,76分,114.2%,33件
15,1950-1999,7413円,69分,114.4%,43件
16,2000-2049,8943円,68分,117.6%,37件
17,2050-2099,6656円,66分,113.4%,38件
18,2100-2149,7941円,61分,117.3%,39件
19,2150-2199,9450円,52分,124.2%,32件
20,2200-2249,8399円,51分,121.9%,35件
21,2250-2299,8724円,45分,125.7%,44件
22,2300-2349,9296円,45分,127.5%,40件
23,2350-2399,6000円,44分,118.2%,40件
24,2400-2449,7352円,40分,124.4%,31件
25,2450-2499,8692円,36分,131.8%,48件
26,2500-2549,6142円,42分,119.6%,42件
27,2550-2599,7575円,36分,127.9%,38件
28,2600-2649,9007円,33分,136.4%,31件
29,2650-2699,10697円,29分,148.5%,39件
30,2700-2749,9535円,32分,139.8%,26件
31,2750-2799,10127円,28分,148.7%,23件
32,2800-2849,11070円,26分,155.9%,32件
33,2850-2899,12592円,25分,166.7%,30件
34,2900-2949,13031円,23分,176.1%,21件
