,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,-613円,153分,99.5%,39件
1,600-649,471円,145分,100.4%,61件
2,650-699,1617円,140分,101.5%,81件
3,700-749,1215円,136分,101.2%,116件
4,750-799,1828円,136分,101.8%,107件
5,800-849,1493円,132分,101.5%,114件
6,850-899,1806円,134分,101.8%,136件
7,900-949,733円,134分,100.7%,161件
8,950-999,677円,132分,100.7%,142件
9,1000-1049,2398円,125分,102.6%,170件
10,1050-1099,2945円,120分,103.3%,211件
11,1100-1149,2504円,120分,102.8%,190件
12,1150-1199,2412円,121分,102.7%,231件
13,1200-1249,2910円,118分,103.3%,218件
14,1250-1299,2773円,113分,103.3%,250件
15,1300-1349,2259円,113分,102.7%,265件
16,1350-1399,2722円,111分,103.3%,252件
17,1400-1449,3238円,105分,104.1%,211件
18,1450-1499,2640円,109分,103.2%,221件
19,1500-1549,3557円,100分,104.7%,244件
20,1550-1599,2825円,100分,103.8%,239件
21,1600-1649,4091円,93分,105.9%,236件
22,1650-1699,2898円,90分,104.3%,224件
23,1700-1749,5262円,86分,108.2%,228件
24,1750-1799,5484円,86分,108.5%,236件
25,1800-1849,4654円,81分,107.6%,197件
26,1850-1899,4695円,79分,107.9%,207件
27,1900-1949,5157円,74分,109.2%,186件
28,1950-1999,5132円,72分,109.6%,194件
29,2000-2049,6599円,69分,112.8%,169件
30,2050-2099,6238円,65分,112.7%,163件
31,2100-2149,5809円,59分,113%,145件
32,2150-2199,6026円,60分,113.4%,154件
33,2200-2249,6231円,56分,114.8%,150件
34,2250-2299,5381円,55分,113.1%,139件
35,2300-2349,4356円,54分,110.8%,129件
36,2350-2399,6972円,45分,120.5%,134件
37,2400-2449,6461円,45分,119.1%,127件
38,2450-2499,7201円,43分,122.5%,135件
39,2500-2549,7604円,42分,124.3%,128件
40,2550-2599,7876円,40分,126.1%,106件
41,2600-2649,7613円,39分,126%,118件
42,2650-2699,8309円,38分,128.8%,102件
43,2700-2749,9625円,34分,137.9%,100件
44,2750-2799,10481円,32分,143.5%,80件
45,2800-2849,11502円,29分,153.3%,99件
46,2850-2899,11966円,28分,157%,92件
47,2900-2949,12990円,23分,174.8%,71件
